id,order_id,symbol,side,order_type,status,qty,filled_qty,avg_fill_price,submitted_at,filled_at,created_at,broker
760,6db29348-5ca7-4bf7-98d8-6be65a4abdee,TEM,buy,stop,filled,220,220,45.7,2026-04-09 15:36:12.828991+00:00,2026-04-09 15:36:15.022398+00:00,2026-04-09 15:45:03.689624+00:00,ALPACA
836,6e85b9b0-c712-465e-a564-311a78b7b5f5,NU,sell,stop,canceled,677,0,,2026-04-09 15:55:11.185199+00:00,,2026-04-09 20:31:02.580400+00:00,
761,6951d2d0-7c53-4828-8613-0e0f35542aa2,NU,buy,market,filled,677,677,14.76,2026-04-09 15:55:11.197631+00:00,2026-04-09 15:55:12.703404+00:00,2026-04-09 15:55:11.832961+00:00,ALPACA
762,15a1ab2d-4000-49de-86e0-c14a6adb68d6,BBAI,buy,stop,filled,2976,2976,3.4,2026-04-09 16:02:18.075046+00:00,2026-04-09 16:02:21.724393+00:00,2026-04-09 16:05:05.422913+00:00,ALPACA
765,e9c3a745-cb6d-4761-abf7-a1a88e83c66e,FUBO,buy,market,filled,804,804,12.45,2026-04-09 16:05:16.385521+00:00,2026-04-09 16:05:18.899487+00:00,2026-04-09 16:05:20.429015+00:00,ALPACA
833,c257eae2-d608-4903-99f2-224e450196df,FUBO,sell,limit,canceled,804,0,,2026-04-09 16:05:18.920645+00:00,,2026-04-09 20:30:59.117886+00:00,
763,74d7ffa5-c8be-4bc3-8a7f-f21e57aaf781,HOOD,buy,market,filled,138,138,72.263406,2026-04-09 16:05:12.687597+00:00,2026-04-09 16:05:19.702612+00:00,2026-04-09 16:05:13.311661+00:00,ALPACA
835,872785db-1723-439a-88b6-868c594cad68,HOOD,sell,limit,canceled,138,0,,2026-04-09 16:05:19.711975+00:00,,2026-04-09 20:31:01.177938+00:00,
764,c263df87-c72f-48df-afcb-b150bc5c5047,PTON,buy,market,filled,2100,2100,4.77,2026-04-09 16:05:14.473875+00:00,2026-04-09 16:05:20.784304+00:00,2026-04-09 16:05:15.098651+00:00,ALPACA
834,1413c3ca-65b6-4b2f-bc1e-5e86edc2e502,PTON,sell,limit,canceled,2100,0,,2026-04-09 16:05:20.801571+00:00,,2026-04-09 20:31:00.136251+00:00,
766,a3cb5b72-d248-4428-9892-e6827411f94e,PTON,sell,stop,filled,2100,2100,4.72,2026-04-09 16:13:33.743039+00:00,2026-04-09 16:13:36.344246+00:00,2026-04-09 16:15:04.661553+00:00,ALPACA
767,37c1a4fc-a2df-46ed-afbc-aa0d422113af,MARA,buy,market,filled,1017,1017,9.84,2026-04-09 16:15:12.495561+00:00,2026-04-09 16:15:13.948844+00:00,2026-04-09 16:15:13.012127+00:00,ALPACA
832,cd57ccc8-9225-4adc-9060-d75e8e2b9ea6,MARA,sell,limit,canceled,1017,0,,2026-04-09 16:15:13.956767+00:00,,2026-04-09 20:30:58.071257+00:00,
768,ba7fd5da-6896-4d03-bb92-61c590ea6e05,WULF,buy,market,filled,520,520,19.190019,2026-04-09 16:15:14.203214+00:00,2026-04-09 16:15:16.894154+00:00,2026-04-09 16:15:22.532830+00:00,ALPACA
831,8a008b77-d90b-453e-829b-e16c808b9517,WULF,sell,limit,canceled,520,0,,2026-04-09 16:15:16.912332+00:00,,2026-04-09 20:30:57.018524+00:00,
830,a7f44e37-c105-46f6-8e12-7f7f384cd588,NVDA,sell,stop,canceled,54,0,,2026-04-09 16:25:14.371510+00:00,,2026-04-09 20:30:56.325379+00:00,
769,8f8e000e-0bdb-43d8-9878-9b1e977aef51,NVDA,buy,market,filled,54,54,183.237407,2026-04-09 16:25:14.379896+00:00,2026-04-09 16:25:16.060687+00:00,2026-04-09 16:25:15.043249+00:00,ALPACA
829,46fcbac2-3dae-47bd-8dc8-532f194e7ed9,NVDA,sell,limit,canceled,54,0,,2026-04-09 16:25:16.097854+00:00,,2026-04-09 20:30:55.981853+00:00,
770,8057a682-6445-4818-92ac-c3820a64c73f,TSLA,buy,market,filled,28,28,347.61,2026-04-09 16:25:16.211783+00:00,2026-04-09 16:25:17.313594+00:00,2026-04-09 16:25:16.856670+00:00,ALPACA
828,d68f786e-6c00-4783-959c-70d1ac474f10,TSLA,sell,limit,canceled,28,0,,2026-04-09 16:25:17.336870+00:00,,2026-04-09 20:30:54.928064+00:00,
771,2f69285e-78e8-452c-bfa9-309886b27b1c,AMD,buy,market,filled,27,27,235.587037,2026-04-09 16:25:18.006200+00:00,2026-04-09 16:25:21.009080+00:00,2026-04-09 16:25:18.641804+00:00,ALPACA
827,2fd48bf5-d60e-48f0-af09-d51ea67782d9,AMD,sell,limit,canceled,27,0,,2026-04-09 16:25:21.029742+00:00,,2026-04-09 20:30:53.880592+00:00,
773,ecbb9ea9-9cce-4d3d-871c-d8fcd10167d9,HOOD,sell,stop,filled,138,138,71.67,2026-04-09 16:26:48.206164+00:00,2026-04-09 16:26:48.868295+00:00,2026-04-09 16:35:06.866571+00:00,ALPACA
772,e92dfc13-2609-4f41-a1a0-3e542111488f,TSLA,sell,stop,filled,28,28,346.383215,2026-04-09 16:33:39.979046+00:00,2026-04-09 16:33:43.611906+00:00,2026-04-09 16:35:03.236214+00:00,ALPACA
774,9d769bf8-b642-4ac3-b023-6b36899c1bfb,META,buy,market,filled,15,15,633.76,2026-04-09 16:35:17.099741+00:00,2026-04-09 16:35:18.174030+00:00,2026-04-09 16:35:17.335627+00:00,ALPACA
826,55f5c12b-aac0-45e9-b9da-02777eff3960,META,sell,limit,canceled,15,0,,2026-04-09 16:35:18.183765+00:00,,2026-04-09 20:30:52.834450+00:00,
825,f38825d1-9f38-4943-8916-677d00428912,GOOGL,sell,stop,canceled,31,0,,2026-04-09 16:35:18.484049+00:00,,2026-04-09 20:30:48.278348+00:00,
775,e01caf6d-12e1-4451-afcb-c90876851748,GOOGL,buy,market,filled,31,31,318.66,2026-04-09 16:35:18.499934+00:00,2026-04-09 16:35:18.713402+00:00,2026-04-09 16:35:19.107666+00:00,ALPACA
824,44a5ddef-4056-4b78-8ccb-20f1bafb415a,GOOGL,sell,limit,canceled,31,0,,2026-04-09 16:35:18.742302+00:00,,2026-04-09 20:30:43.500204+00:00,
776,82387cc1-8378-43b2-830f-825fc41c25f3,AVGO,buy,market,filled,27,27,357.98,2026-04-09 16:35:20.285717+00:00,2026-04-09 16:35:21.073314+00:00,2026-04-09 16:35:20.888639+00:00,ALPACA
823,b8994875-542d-4264-bf97-268386adca32,AVGO,sell,limit,canceled,27,0,,2026-04-09 16:35:21.115586+00:00,,2026-04-09 20:30:42.470419+00:00,
