id,trade_key,symbol,mode,side,direction,status,entry_time,exit_time,duration_minutes,shares,entry_price,exit_price,stop_price,target_price,exit_reason,signal_timestamp,signal_entry,signal_stop,signal_target,signal_confidence,order_id,parent_order_id,exit_order_id,realized_pnl,realized_pnl_percent,created_at,updated_at,broker
154,10,NIO,primary,SELL,SHORT,OPEN,2026-04-09 14:25:20.717167+00:00,,,1612,6.2,,6.312,5.976,,2026-04-09 14:25:20.717167+00:00,6.2,6.312,5.976,101,10,10,,,,2026-04-09 14:25:28.583340+00:00,2026-04-09 14:25:28.583340+00:00,IBKR
156,94c6dc10-9477-44b7-9a73-afa74be2150e,HOOD,fifth,SELL,SHORT,CLOSED,2026-04-09 14:35:08.630214+00:00,2026-04-09 14:45:03.379633+00:00,9.91,145,68.86,69.61,69.60375,67.3725,STOP_HIT,2026-04-09 14:35:08.630214+00:00,68.86,69.60375,67.3725,99,94c6dc10-9477-44b7-9a73-afa74be2150e,94c6dc10-9477-44b7-9a73-afa74be2150e,8f2c3945-5b65-4179-b0ce-15fc321305f6,-108.75,-1.089166,2026-04-09 14:35:21.454490+00:00,2026-04-09 14:45:04.137612+00:00,ALPACA
152,32171859-4ce8-4fc0-996f-5e1e8958dd02,NU,fourth,SELL,SHORT,CLOSED,2026-04-09 14:25:04.606579+00:00,2026-04-09 14:45:06.248603+00:00,20.03,692,14.435,14.49,14.4875,14.33,STOP_HIT,2026-04-09 14:25:04.606579+00:00,14.435,14.4875,14.33,98,32171859-4ce8-4fc0-996f-5e1e8958dd02,32171859-4ce8-4fc0-996f-5e1e8958dd02,2f6dfd52-e430-4abe-ab77-61ab91b6a764,-38.06,-0.381018,2026-04-09 14:25:17.936716+00:00,2026-04-09 14:45:06.968380+00:00,ALPACA
151,1118b90d-0c22-4bfe-902a-9af3398ce18c,IONQ,fourth,SELL,SHORT,CLOSED,2026-04-09 14:25:04.606579+00:00,2026-04-09 14:45:07.445322+00:00,20.05,356,28.03,28.28,28.2575,27.575,STOP_HIT,2026-04-09 14:25:04.606579+00:00,28.03,28.2575,27.575,100,1118b90d-0c22-4bfe-902a-9af3398ce18c,1118b90d-0c22-4bfe-902a-9af3398ce18c,2865130b-7bcd-43a8-9f91-1c609af6aeaf,-89,-0.891902,2026-04-09 14:25:16.125195+00:00,2026-04-09 14:45:08.174586+00:00,ALPACA
150,b1dd432f-667b-4b3e-8617-e88e62c083d3,QBTS,fourth,SELL,SHORT,CLOSED,2026-04-09 14:25:04.606579+00:00,2026-04-09 14:45:08.650088+00:00,20.07,718,13.915,14.05,14.0445,13.656,STOP_HIT,2026-04-09 14:25:04.606579+00:00,13.915,14.0445,13.656,100,b1dd432f-667b-4b3e-8617-e88e62c083d3,b1dd432f-667b-4b3e-8617-e88e62c083d3,be380fa2-08da-4ace-8118-320b9e5016c5,-96.93,-0.970176,2026-04-09 14:25:14.331278+00:00,2026-04-09 14:45:09.397756+00:00,ALPACA
147,f7de4ca9-b548-4cd2-84d6-23fde2d14675,RKLB,third,SELL,SHORT,CLOSED,2026-04-09 14:15:04.085195+00:00,2026-04-09 14:55:07.164784+00:00,40.05,148,67.27,67.9,67.872,66.066,STOP_HIT,2026-04-09 14:15:04.085195+00:00,67.27,67.872,66.066,100,f7de4ca9-b548-4cd2-84d6-23fde2d14675,f7de4ca9-b548-4cd2-84d6-23fde2d14675,272cf149-b7f4-46fe-a687-af32c7f9df3e,-93.24,-0.936524,2026-04-09 14:15:12.691487+00:00,2026-04-09 14:55:07.908992+00:00,ALPACA
157,df400793-a80b-413f-b79b-1be3f9788280,PTON,fifth,SELL,SHORT,CLOSED,2026-04-09 14:35:08.630214+00:00,2026-04-09 15:05:02.737551+00:00,29.9,1876,4.59,4.64,4.63375,4.5025,STOP_HIT,2026-04-09 14:35:08.630214+00:00,4.59,4.63375,4.5025,93,df400793-a80b-413f-b79b-1be3f9788280,df400793-a80b-413f-b79b-1be3f9788280,1ac03f28-6f1b-4a47-a583-68451eaa1456,-93.8,-1.089325,2026-04-09 14:35:23.247144+00:00,2026-04-09 15:05:03.494968+00:00,ALPACA
149,9e52d3e9-aec6-4665-a91d-afc0af413f59,AI,fourth,SELL,SHORT,CLOSED,2026-04-09 14:25:04.606579+00:00,2026-04-09 15:25:03.680908+00:00,59.98,1186,8.43,8.49,8.4895,8.311,STOP_HIT,2026-04-09 14:25:04.606579+00:00,8.43,8.4895,8.311,100,9e52d3e9-aec6-4665-a91d-afc0af413f59,9e52d3e9-aec6-4665-a91d-afc0af413f59,d8a7efe6-2946-424f-8f3f-5b119e47f021,-71.16,-0.711744,2026-04-09 14:25:12.510502+00:00,2026-04-09 15:25:04.492086+00:00,ALPACA
155,453e2517-0f03-4d97-ad42-c121ac966c2e,AFRM,fifth,SELL,SHORT,CLOSED,2026-04-09 14:35:08.630214+00:00,2026-04-09 15:35:02.762183+00:00,59.9,209,47.68,48.32,48.2155,46.609,STOP_HIT,2026-04-09 14:35:08.630214+00:00,47.68,48.2155,46.609,99,453e2517-0f03-4d97-ad42-c121ac966c2e,453e2517-0f03-4d97-ad42-c121ac966c2e,4853d362-c543-4b5b-b58e-b03600c0d36b,-133.76,-1.342282,2026-04-09 14:35:19.666757+00:00,2026-04-09 15:35:03.544672+00:00,ALPACA
153,ce138590-a5c6-4d40-a785-e1e0b01a3cba,TEM,fourth,SELL,SHORT,CLOSED,2026-04-09 14:25:04.606579+00:00,2026-04-09 15:45:03.208756+00:00,79.98,220,45.25,45.7,45.635,44.48,STOP_HIT,2026-04-09 14:25:04.606579+00:00,45.25,45.635,44.48,99,ce138590-a5c6-4d40-a785-e1e0b01a3cba,ce138590-a5c6-4d40-a785-e1e0b01a3cba,6db29348-5ca7-4bf7-98d8-6be65a4abdee,-99,-0.994475,2026-04-09 14:25:19.734846+00:00,2026-04-09 15:45:03.950761+00:00,ALPACA
