id,event_time,event_type,symbol,side,shares,price,mode,order_id,parent_order_id,status,created_at,broker
317,2026-04-09 16:05:07.282238+00:00,OPEN,FUBO,BUY,804,12.425,fifth,e9c3a745-cb6d-4761-abf7-a1a88e83c66e,e9c3a745-cb6d-4761-abf7-a1a88e83c66e,OPEN,2026-04-09 16:05:19.141328+00:00,ALPACA
318,2026-04-09 16:15:04.162366+00:00,STOP_HIT,PTON,BUY,2100,4.72,,a3cb5b72-d248-4428-9892-e6827411f94e,c263df87-c72f-48df-afcb-b150bc5c5047,CLOSED,2026-04-09 16:15:04.391345+00:00,ALPACA
319,2026-04-09 16:15:08.137985+00:00,OPEN,MARA,BUY,1017,9.825,sixth,37c1a4fc-a2df-46ed-afbc-aa0d422113af,37c1a4fc-a2df-46ed-afbc-aa0d422113af,OPEN,2026-04-09 16:15:12.758810+00:00,ALPACA
320,2026-04-09 16:15:08.137985+00:00,OPEN,WULF,BUY,520,19.21,sixth,ba7fd5da-6896-4d03-bb92-61c590ea6e05,ba7fd5da-6896-4d03-bb92-61c590ea6e05,OPEN,2026-04-09 16:15:19.705451+00:00,ALPACA
321,2026-04-09 16:25:07.518894+00:00,OPEN,NVDA,BUY,54,183.235,core_one,8f8e000e-0bdb-43d8-9878-9b1e977aef51,8f8e000e-0bdb-43d8-9878-9b1e977aef51,OPEN,2026-04-09 16:25:14.779736+00:00,ALPACA
322,2026-04-09 16:25:07.518894+00:00,OPEN,TSLA,BUY,28,347.7,core_one,8057a682-6445-4818-92ac-c3820a64c73f,8057a682-6445-4818-92ac-c3820a64c73f,OPEN,2026-04-09 16:25:16.607418+00:00,ALPACA
323,2026-04-09 16:25:07.518894+00:00,OPEN,AMD,BUY,27,235.67,core_one,2f69285e-78e8-452c-bfa9-309886b27b1c,2f69285e-78e8-452c-bfa9-309886b27b1c,OPEN,2026-04-09 16:25:18.381552+00:00,ALPACA
324,2026-04-09 16:35:02.762149+00:00,STOP_HIT,TSLA,BUY,28,346.3832,,e92dfc13-2609-4f41-a1a0-3e542111488f,8057a682-6445-4818-92ac-c3820a64c73f,CLOSED,2026-04-09 16:35:02.982138+00:00,ALPACA
325,2026-04-09 16:35:06.403751+00:00,STOP_HIT,HOOD,BUY,138,71.67,,ecbb9ea9-9cce-4d3d-871c-d8fcd10167d9,74d7ffa5-c8be-4bc3-8a7f-f21e57aaf781,CLOSED,2026-04-09 16:35:06.617353+00:00,ALPACA
326,2026-04-09 16:35:09.708822+00:00,OPEN,META,BUY,15,634.14,core_two,9d769bf8-b642-4ac3-b023-6b36899c1bfb,9d769bf8-b642-4ac3-b023-6b36899c1bfb,OPEN,2026-04-09 16:35:17.086548+00:00,ALPACA
327,2026-04-09 16:35:09.708822+00:00,OPEN,GOOGL,BUY,31,318.82,core_two,e01caf6d-12e1-4451-afcb-c90876851748,e01caf6d-12e1-4451-afcb-c90876851748,OPEN,2026-04-09 16:35:18.863274+00:00,ALPACA
328,2026-04-09 16:35:09.708822+00:00,OPEN,AVGO,BUY,27,358.04,core_two,82387cc1-8378-43b2-830f-825fc41c25f3,82387cc1-8378-43b2-830f-825fc41c25f3,OPEN,2026-04-09 16:35:20.634674+00:00,ALPACA
329,2026-04-09 16:45:06.587704+00:00,STOP_HIT,FUBO,BUY,804,12.23,,99e9dad1-cdcc-4bad-9168-8421df6bc8f3,e9c3a745-cb6d-4761-abf7-a1a88e83c66e,CLOSED,2026-04-09 16:45:06.798211+00:00,ALPACA
330,2026-04-09 16:45:10.106598+00:00,OPEN,INTC,BUY,165,60.315,core_three,f1688c81-2688-4c6b-bb39-8058eef6b974,f1688c81-2688-4c6b-bb39-8058eef6b974,OPEN,2026-04-09 16:45:14.957285+00:00,ALPACA
331,2026-04-09 16:55:07.283804+00:00,STOP_HIT,AMD,BUY,27,234.1233,,7fdd5c09-87da-4885-b1d9-66c836c61ae0,2f69285e-78e8-452c-bfa9-309886b27b1c,CLOSED,2026-04-09 16:55:07.511359+00:00,ALPACA
332,2026-04-09 16:55:12.463013+00:00,OPEN,RIVN,BUY,654,15.285,primary,7a6a3abd-515d-485a-913c-0a7f48440145,7a6a3abd-515d-485a-913c-0a7f48440145,OPEN,2026-04-09 16:55:18.476061+00:00,ALPACA
333,2026-04-09 17:05:12.000474+00:00,OPEN,GRAB,BUY,721,3.685,secondary,803c787d-7a64-4fa7-97f7-32a59f48872c,803c787d-7a64-4fa7-97f7-32a59f48872c,OPEN,2026-04-09 17:05:23.862906+00:00,ALPACA
