id,scan_time,mode,scan_source,market_phase,candidate_count,placed_count,skipped_count,created_at
85,2026-03-31 14:02:08.258741+00:00,secondary,SCHEDULED,MORNING,1,1,0,2026-03-31 14:02:12.654032+00:00
86,2026-03-31 14:03:36.674322+00:00,secondary,SCHEDULED,MORNING,1,1,0,2026-03-31 14:03:41.125357+00:00
87,2026-03-31 14:10:02.927632+00:00,third,SCHEDULED,MORNING,2,2,0,2026-03-31 14:10:08.520206+00:00
88,2026-03-31 14:20:02.842833+00:00,fourth,SCHEDULED,MORNING,5,2,3,2026-03-31 14:20:11.180964+00:00
89,2026-03-31 14:30:02.342816+00:00,core_one,SCHEDULED,MORNING,3,1,2,2026-03-31 14:30:07.254995+00:00
90,2026-03-31 14:40:02.329029+00:00,core_two,SCHEDULED,MORNING,3,3,0,2026-03-31 14:40:08.301421+00:00
91,2026-03-31 14:50:03.066027+00:00,primary,SCHEDULED,MORNING,3,0,3,2026-03-31 14:50:06.802226+00:00
92,2026-03-31 15:00:02.873780+00:00,secondary,SCHEDULED,MORNING,0,0,0,2026-03-31 15:00:07.372479+00:00
93,2026-03-31 15:10:02.230778+00:00,third,SCHEDULED,MORNING,2,0,2,2026-03-31 15:10:07.249237+00:00
94,2026-03-31 15:20:02.873678+00:00,fourth,SCHEDULED,MORNING,3,1,2,2026-03-31 15:20:07.296004+00:00
95,2026-03-31 15:30:02.925242+00:00,core_one,SCHEDULED,MORNING,2,0,2,2026-03-31 15:30:07.170394+00:00
96,2026-03-31 15:40:02.966208+00:00,core_two,SCHEDULED,MORNING,4,0,4,2026-03-31 15:40:07.110123+00:00
97,2026-03-31 15:50:03.015933+00:00,primary,SCHEDULED,MORNING,5,0,5,2026-03-31 15:50:07.730414+00:00
98,2026-03-31 16:00:03.035400+00:00,secondary,SCHEDULED,MIDDAY,0,0,0,2026-03-31 16:00:09.505896+00:00
99,2026-03-31 16:10:02.743576+00:00,third,SCHEDULED,MIDDAY,0,0,0,2026-03-31 16:10:06.585565+00:00
100,2026-03-31 16:20:02.972525+00:00,fourth,SCHEDULED,MIDDAY,2,0,2,2026-03-31 16:20:07.905719+00:00
101,2026-03-31 16:30:03.001408+00:00,core_one,SCHEDULED,MIDDAY,3,1,2,2026-03-31 16:30:08.233470+00:00
102,2026-03-31 16:40:03.085194+00:00,core_two,SCHEDULED,MIDDAY,4,0,4,2026-03-31 16:40:07.519704+00:00
103,2026-03-31 16:50:03.291123+00:00,primary,SCHEDULED,MIDDAY,6,0,6,2026-03-31 16:50:07.861760+00:00
104,2026-03-31 17:00:03.009494+00:00,secondary,SCHEDULED,MIDDAY,2,0,2,2026-03-31 17:00:07.864334+00:00
105,2026-03-31 17:10:02.868122+00:00,third,SCHEDULED,MIDDAY,2,0,2,2026-03-31 17:10:07.363819+00:00
106,2026-03-31 17:20:03.102624+00:00,fourth,SCHEDULED,MIDDAY,4,0,4,2026-03-31 17:20:07.168412+00:00
107,2026-03-31 17:30:03.106217+00:00,core_one,SCHEDULED,MIDDAY,6,0,6,2026-03-31 17:30:07.689754+00:00
108,2026-03-31 17:40:03.164324+00:00,core_two,SCHEDULED,MIDDAY,6,0,6,2026-03-31 17:40:07.625763+00:00
109,2026-03-31 17:50:03.034930+00:00,primary,SCHEDULED,MIDDAY,6,0,6,2026-03-31 17:50:07.787164+00:00
110,2026-03-31 18:00:03.120955+00:00,secondary,SCHEDULED,AFTERNOON,2,0,2,2026-03-31 18:00:08.276245+00:00
111,2026-03-31 18:10:02.805288+00:00,third,SCHEDULED,AFTERNOON,1,0,1,2026-03-31 18:10:07.769695+00:00
112,2026-03-31 18:20:03.554157+00:00,fourth,SCHEDULED,AFTERNOON,4,0,4,2026-03-31 18:20:08.632480+00:00
113,2026-03-31 18:30:03.029735+00:00,core_one,SCHEDULED,AFTERNOON,6,0,6,2026-03-31 18:30:08.159050+00:00
114,2026-03-31 18:40:03.113853+00:00,core_two,SCHEDULED,AFTERNOON,6,0,6,2026-03-31 18:40:08.141881+00:00
115,2026-03-31 18:50:02.975638+00:00,primary,SCHEDULED,AFTERNOON,6,0,6,2026-03-31 18:50:08.128668+00:00
116,2026-03-31 19:00:02.985371+00:00,secondary,SCHEDULED,AFTERNOON,2,0,2,2026-03-31 19:00:09.065729+00:00
117,2026-03-31 19:10:02.831777+00:00,third,SCHEDULED,AFTERNOON,2,0,2,2026-03-31 19:10:07.994258+00:00
118,2026-03-31 19:20:03.044974+00:00,fourth,SCHEDULED,AFTERNOON,4,0,4,2026-03-31 19:20:08.190418+00:00
119,2026-03-31 19:30:02.411176+00:00,core_one,SCHEDULED,POWER_HOUR,6,0,6,2026-03-31 19:30:07.905652+00:00
120,2026-03-31 19:40:02.421649+00:00,core_two,SCHEDULED,POWER_HOUR,6,0,6,2026-03-31 19:40:07.743359+00:00
121,2026-03-31 19:50:03.176832+00:00,primary,SCHEDULED,POWER_HOUR,6,0,6,2026-03-31 19:50:08.283241+00:00
