timestamp_utc,event_type,symbol,name,mode,trade_source,broker,broker_order_id,broker_parent_order_id,broker_status,broker_filled_qty,broker_filled_avg_price,broker_exit_order_id,shares,entry_price,stop_price,target_price,exit_price,exit_reason,status,notes,linked_signal_timestamp_utc,linked_signal_entry,linked_signal_stop,linked_signal_target,linked_signal_confidence,inferred_stop_hit,inferred_target_hit,inferred_first_level_hit,inferred_analysis_start_utc,inferred_analysis_end_utc
2026-03-27T14:30:01.503294+00:00,OPEN,NVDA,NVIDIA,core_one,ALPACA_PAPER,ALPACA,20bbe0c4-b9b7-4475-bb0f-e14d523512a9,20bbe0c4-b9b7-4475-bb0f-e14d523512a9,pending_new,,,,2,167.94,168.59799999999998,166.624,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-NVDA-SELL-1679400-2,2026-03-27T14:30:01.503294+00:00,167.94,168.59799999999998,166.624,103.0,,,,,
2026-03-27T14:30:01.503294+00:00,OPEN,TSLA,Tesla,core_one,ALPACA_PAPER,ALPACA,99c15394-61d0-44f0-b8a3-e307b565489f,99c15394-61d0-44f0-b8a3-e307b565489f,pending_new,,,,1,363.155,365.3495,358.76599999999996,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-TSLA-SELL-3631550-1,2026-03-27T14:30:01.503294+00:00,363.155,365.3495,358.76599999999996,94.0,,,,,
2026-03-27T14:30:01.503294+00:00,OPEN,AMD,AMD,core_one,ALPACA_PAPER,ALPACA,796b8f9a-ff4a-499e-be8e-0805037f6157,796b8f9a-ff4a-499e-be8e-0805037f6157,pending_new,,,,2,199.05,199.9635,197.223,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-AMD-SELL-1990500-2,2026-03-27T14:30:01.503294+00:00,199.05,199.9635,197.223,101.0,,,,,
2026-03-27T14:30:01.503294+00:00,OPEN,PLTR,Palantir,core_one,ALPACA_PAPER,ALPACA,68f95315-3be8-4650-91ce-41aa14456559,68f95315-3be8-4650-91ce-41aa14456559,pending_new,,,,3,143.25,143.99025,141.7695,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-PLTR-SELL-1432500-3,2026-03-27T14:30:01.503294+00:00,143.25,143.99025,141.7695,97.0,,,,,
2026-03-27T14:30:01.503294+00:00,OPEN,MSFT,Microsoft,core_one,ALPACA_PAPER,ALPACA,8a1e306b-a933-488e-a009-24396496124e,8a1e306b-a933-488e-a009-24396496124e,pending_new,,,,1,358.45,359.7065,355.937,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-MSFT-SELL-3584500-1,2026-03-27T14:30:01.503294+00:00,358.45,359.7065,355.937,93.0,,,,,
2026-03-27T14:30:11.793816+00:00,TARGET_HIT,QBTS,D-Wave Quantum,fourth,ALPACA_PAPER,ALPACA,5f9fb021-3ad6-41f1-9800-f787cb79813a,5f9fb021-3ad6-41f1-9800-f787cb79813a,filled,35.0,13.96,f342b5a0-1c3e-4595-950f-9d36eb3754f6,35,14.12,14.200499999999998,13.959,13.96,TARGET_HIT,CLOSED,Paper trade exit synced from Alpaca. exit_event=TARGET_HIT,2026-03-27T14:20:00.939825+00:00,14.12,14.200499999999998,13.959,70.0,,,,,
2026-03-27T14:40:01.526477+00:00,OPEN,AMZN,Amazon,core_two,ALPACA_PAPER,ALPACA,a06eb49c-e0a7-4264-80d8-1717159345a7,a06eb49c-e0a7-4264-80d8-1717159345a7,pending_new,,,,2,201.12,202.2995,198.761,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-AMZN-SELL-2011200-2,2026-03-27T14:40:01.526477+00:00,201.12,202.2995,198.761,100.0,,,,,
2026-03-27T14:40:01.526477+00:00,OPEN,AVGO,Broadcom,core_two,ALPACA_PAPER,ALPACA,3bb7ad08-002b-4f24-afcb-0ec976a44c85,3bb7ad08-002b-4f24-afcb-0ec976a44c85,pending_new,,,,1,302.75,304.15700000000004,299.936,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-AVGO-SELL-3027500-1,2026-03-27T14:40:01.526477+00:00,302.75,304.15700000000004,299.936,91.0,,,,,
2026-03-27T14:45:04.828711+00:00,STOP_HIT,MSFT,Microsoft,core_one,ALPACA_PAPER,ALPACA,8a1e306b-a933-488e-a009-24396496124e,8a1e306b-a933-488e-a009-24396496124e,filled,1.0,359.69,6ad9c994-108f-4fa2-9f95-71c6b216aafa,1,358.45,359.7065,355.937,359.69,STOP_HIT,CLOSED,Paper trade exit synced from Alpaca. exit_event=STOP_HIT,2026-03-27T14:30:01.503294+00:00,358.45,359.7065,355.937,93.0,,,,,
2026-03-27T14:50:01.533648+00:00,OPEN,SOFI,SoFi,primary,ALPACA_PAPER,ALPACA,f991d1b3-2b3b-4378-aa3e-facd51adc862,f991d1b3-2b3b-4378-aa3e-facd51adc862,pending_new,,,,32,15.41,15.4975,15.235,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-SOFI-SELL-154100-32,2026-03-27T14:50:01.533648+00:00,15.41,15.4975,15.235,91.0,,,,,
2026-03-27T14:50:01.533648+00:00,OPEN,NIO,NIO,primary,ALPACA_PAPER,ALPACA,247f9872-9381-4a9d-a522-834dbe928511,247f9872-9381-4a9d-a522-834dbe928511,pending_new,,,,91,5.45,5.478,5.394,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-NIO-SELL-54500-91,2026-03-27T14:50:01.533648+00:00,5.45,5.478,5.394,91.0,,,,,
2026-03-27T14:50:01.533648+00:00,OPEN,HIMS,Hims & Hers,primary,ALPACA_PAPER,ALPACA,8fc682a3-1dde-4b4e-adea-21615a3d7693,8fc682a3-1dde-4b4e-adea-21615a3d7693,pending_new,,,,25,19.88,20.0165,19.607,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-HIMS-SELL-198800-25,2026-03-27T14:50:01.533648+00:00,19.88,20.0165,19.607,99.0,,,,,
2026-03-27T14:50:01.533648+00:00,OPEN,JOBY,Joby Aviation,primary,ALPACA_PAPER,ALPACA,f70e4f92-9011-4638-a1b7-f5dd49bf3319,f70e4f92-9011-4638-a1b7-f5dd49bf3319,pending_new,,,,60,8.205,8.26275,8.089500000000001,,,OPEN,Paper SELL bracket order submitted. client_order_id=scanner-JOBY-SELL-82050-60,2026-03-27T14:50:01.533648+00:00,8.205,8.26275,8.089500000000001,89.0,,,,,
2026-03-27T14:50:10.864760+00:00,STOP_HIT,NVDA,NVIDIA,core_one,ALPACA_PAPER,ALPACA,20bbe0c4-b9b7-4475-bb0f-e14d523512a9,20bbe0c4-b9b7-4475-bb0f-e14d523512a9,filled,2.0,168.605,aea76e86-9341-44fa-ac9d-b77835fe1028,2,167.94,168.59799999999998,166.624,168.605,STOP_HIT,CLOSED,Paper trade exit synced from Alpaca. exit_event=STOP_HIT,2026-03-27T14:30:01.503294+00:00,167.94,168.59799999999998,166.624,103.0,,,,,
2026-03-27T14:50:11.419363+00:00,STOP_HIT,TSLA,Tesla,core_one,ALPACA_PAPER,ALPACA,99c15394-61d0-44f0-b8a3-e307b565489f,99c15394-61d0-44f0-b8a3-e307b565489f,filled,1.0,365.37,9dc91e9f-8459-456e-9901-20b58c98301e,1,363.155,365.3495,358.76599999999996,365.37,STOP_HIT,CLOSED,Paper trade exit synced from Alpaca. exit_event=STOP_HIT,2026-03-27T14:30:01.503294+00:00,363.155,365.3495,358.76599999999996,94.0,,,,,
