id,scan_time,mode,scan_source,market_phase,candidate_count,placed_count,skipped_count,created_at
187,2026-04-03 13:55:04.753987+00:00,primary,SCHEDULED,OPENING,0,0,0,2026-04-03 13:55:05.433932+00:00
188,2026-04-03 14:05:04.343358+00:00,secondary,SCHEDULED,MORNING,0,0,0,2026-04-03 14:05:05.045794+00:00
189,2026-04-03 14:15:04.331807+00:00,third,SCHEDULED,MORNING,0,0,0,2026-04-03 14:15:04.985072+00:00
190,2026-04-03 14:25:04.365616+00:00,fourth,SCHEDULED,MORNING,0,0,0,2026-04-03 14:25:05.077153+00:00
191,2026-04-03 14:35:04.421084+00:00,fifth,SCHEDULED,MORNING,0,0,0,2026-04-03 14:35:05.102403+00:00
192,2026-04-03 14:45:04.321474+00:00,sixth,SCHEDULED,MORNING,0,0,0,2026-04-03 14:45:05.026824+00:00
193,2026-04-03 14:55:04.930406+00:00,core_one,SCHEDULED,MORNING,0,0,0,2026-04-03 14:55:05.633170+00:00
194,2026-04-03 15:05:05.338570+00:00,core_two,SCHEDULED,MORNING,0,0,0,2026-04-03 15:05:06.130514+00:00
195,2026-04-03 15:15:04.313311+00:00,core_three,SCHEDULED,MORNING,0,0,0,2026-04-03 15:15:04.957345+00:00
196,2026-04-03 15:25:05.286941+00:00,primary,SCHEDULED,MORNING,0,0,0,2026-04-03 15:25:06.024499+00:00
197,2026-04-03 15:35:04.457409+00:00,secondary,SCHEDULED,MORNING,0,0,0,2026-04-03 15:35:05.158044+00:00
198,2026-04-03 15:45:04.337524+00:00,third,SCHEDULED,MORNING,0,0,0,2026-04-03 15:45:04.952128+00:00
199,2026-04-03 15:55:04.400176+00:00,fourth,SCHEDULED,MORNING,0,0,0,2026-04-03 15:55:05.058234+00:00
200,2026-04-03 16:05:05.481702+00:00,fifth,SCHEDULED,MIDDAY,0,0,0,2026-04-03 16:05:06.173527+00:00
201,2026-04-03 16:15:04.389446+00:00,sixth,SCHEDULED,MIDDAY,0,0,0,2026-04-03 16:15:05.122171+00:00
202,2026-04-03 16:25:04.033021+00:00,core_one,SCHEDULED,MIDDAY,0,0,0,2026-04-03 16:25:04.684483+00:00
203,2026-04-03 16:35:04.423924+00:00,core_two,SCHEDULED,MIDDAY,0,0,0,2026-04-03 16:35:05.042073+00:00
204,2026-04-03 16:45:04.450541+00:00,core_three,SCHEDULED,MIDDAY,0,0,0,2026-04-03 16:45:05.145030+00:00
205,2026-04-03 16:55:04.318817+00:00,primary,SCHEDULED,MIDDAY,0,0,0,2026-04-03 16:55:04.964768+00:00
206,2026-04-03 17:05:04.405379+00:00,secondary,SCHEDULED,MIDDAY,0,0,0,2026-04-03 17:05:05.065155+00:00
207,2026-04-03 17:15:04.236641+00:00,third,SCHEDULED,MIDDAY,0,0,0,2026-04-03 17:15:05.054636+00:00
208,2026-04-03 17:25:04.316801+00:00,fourth,SCHEDULED,MIDDAY,0,0,0,2026-04-03 17:25:04.974197+00:00
209,2026-04-03 17:35:04.080197+00:00,fifth,SCHEDULED,MIDDAY,0,0,0,2026-04-03 17:35:04.757193+00:00
210,2026-04-03 17:45:05.266339+00:00,sixth,SCHEDULED,MIDDAY,0,0,0,2026-04-03 17:45:05.968451+00:00
211,2026-04-03 17:55:04.423211+00:00,core_one,SCHEDULED,MIDDAY,0,0,0,2026-04-03 17:55:05.074427+00:00
212,2026-04-03 18:05:05.413261+00:00,core_two,SCHEDULED,AFTERNOON,0,0,0,2026-04-03 18:05:06.132451+00:00
213,2026-04-03 18:15:05.412489+00:00,core_three,SCHEDULED,AFTERNOON,0,0,0,2026-04-03 18:15:06.057337+00:00
214,2026-04-03 18:25:04.386941+00:00,primary,SCHEDULED,AFTERNOON,0,0,0,2026-04-03 18:25:05.029605+00:00
215,2026-04-03 18:35:04.404051+00:00,secondary,SCHEDULED,AFTERNOON,0,0,0,2026-04-03 18:35:05.048258+00:00
216,2026-04-03 18:45:04.261626+00:00,third,SCHEDULED,AFTERNOON,0,0,0,2026-04-03 18:45:04.848810+00:00
217,2026-04-03 18:55:05.255735+00:00,fourth,SCHEDULED,AFTERNOON,0,0,0,2026-04-03 18:55:05.920816+00:00
218,2026-04-03 19:05:04.307384+00:00,fifth,SCHEDULED,AFTERNOON,0,0,0,2026-04-03 19:05:04.958821+00:00
219,2026-04-03 19:15:05.868399+00:00,sixth,SCHEDULED,AFTERNOON,0,0,0,2026-04-03 19:15:06.511906+00:00
220,2026-04-03 19:25:04.284996+00:00,core_one,SCHEDULED,AFTERNOON,0,0,0,2026-04-03 19:25:04.956170+00:00
221,2026-04-03 19:35:04.292490+00:00,core_two,SCHEDULED,POWER_HOUR,0,0,0,2026-04-03 19:35:04.903805+00:00
222,2026-04-03 19:45:04.680487+00:00,core_three,SCHEDULED,POWER_HOUR,0,0,0,2026-04-03 19:45:05.321536+00:00
