broker_parent_order_id,symbol,mode,client_order_id,local_entry_timestamp_utc,local_exit_timestamp_utc,local_entry_price,alpaca_entry_price,local_exit_price,alpaca_exit_price,local_shares,alpaca_entry_qty,alpaca_exit_qty,local_exit_reason,alpaca_exit_reason,alpaca_exit_order_id,entry_price_diff,exit_price_diff,match_status
14f02443-cb05-4de4-9f1e-ba02105a47b0,ACHR,secondary,scanner-ACHR-SELL-51500-97,2026-03-27T14:00:01.569351+00:00,2026-03-27T14:05:02.930145+00:00,5.15,5.17,5.18,5.18,97.0,97.0,97.0,STOP_HIT,STOP_HIT,311d962d-c579-48a9-9eb8-1c8f6ebb40ac,-0.02,0.0,matched
cc466ee1-fb26-4327-9710-205a5ee091d1,OPEN,secondary,scanner-OPEN-SELL-46600-107,2026-03-27T14:00:01.569351+00:00,2026-03-27T14:05:03.571824+00:00,4.66,4.66,4.7,4.7,107.0,107.0,107.0,STOP_HIT,STOP_HIT,3b40dcd8-60f2-4a06-ba84-ebc093a2ceed,0.0,0.0,matched
ceab1b4d-8abf-4bcc-ad94-f96055c702a2,RKLB,third,scanner-RKLB-SELL-624950-8,2026-03-27T14:10:01.335951+00:00,2026-03-27T14:15:03.547627+00:00,62.495,62.53,63.0487,63.04875,8.0,8.0,8.0,STOP_HIT,STOP_HIT,22788b4b-7795-4234-824e-57952d36cac3,-0.035,-5e-05,matched
52f9f600-d61e-4d42-98da-4231ab356d5c,CLOV,third,scanner-CLOV-SELL-17750-281,2026-03-27T14:10:01.335951+00:00,2026-03-27T14:20:09.520711+00:00,1.775,1.77,1.78,1.78,281.0,281.0,281.0,STOP_HIT,STOP_HIT,1cbf809b-fc6e-4844-bf73-da69e10043b0,0.005,0.0,matched
5f9fb021-3ad6-41f1-9800-f787cb79813a,QBTS,fourth,scanner-QBTS-SELL-141200-35,2026-03-27T14:20:00.939825+00:00,2026-03-27T14:30:11.793816+00:00,14.12,14.14,13.96,13.96,35.0,35.0,35.0,TARGET_HIT,TARGET_HIT,f342b5a0-1c3e-4595-950f-9d36eb3754f6,-0.02,0.0,matched
8a1e306b-a933-488e-a009-24396496124e,MSFT,core_one,scanner-MSFT-SELL-3584500-1,2026-03-27T14:30:01.503294+00:00,2026-03-27T14:45:04.828711+00:00,358.45,358.49,359.69,359.69,1.0,1.0,1.0,STOP_HIT,STOP_HIT,6ad9c994-108f-4fa2-9f95-71c6b216aafa,-0.04,0.0,matched
20bbe0c4-b9b7-4475-bb0f-e14d523512a9,NVDA,core_one,scanner-NVDA-SELL-1679400-2,2026-03-27T14:30:01.503294+00:00,2026-03-27T14:50:10.864760+00:00,167.94,167.925,168.605,168.605,2.0,2.0,2.0,STOP_HIT,STOP_HIT,aea76e86-9341-44fa-ac9d-b77835fe1028,0.015,0.0,matched
99c15394-61d0-44f0-b8a3-e307b565489f,TSLA,core_one,scanner-TSLA-SELL-3631550-1,2026-03-27T14:30:01.503294+00:00,2026-03-27T14:50:11.419363+00:00,363.155,363.18,365.37,365.37,1.0,1.0,1.0,STOP_HIT,STOP_HIT,9dc91e9f-8459-456e-9901-20b58c98301e,-0.025,0.0,matched
3bb7ad08-002b-4f24-afcb-0ec976a44c85,AVGO,core_two,scanner-AVGO-SELL-3027500-1,2026-03-27T14:40:01.526477+00:00,2026-03-27T14:50:12.803032+00:00,302.75,302.62,304.2,304.2,1.0,1.0,1.0,STOP_HIT,STOP_HIT,d85b2ab4-db8f-422d-b906-84bcf9e702ec,0.13,0.0,matched
68f95315-3be8-4650-91ce-41aa14456559,PLTR,core_one,scanner-PLTR-SELL-1432500-3,2026-03-27T14:30:01.503294+00:00,2026-03-27T14:55:03.961781+00:00,143.25,143.443333,143.96,143.96,3.0,3.0,3.0,STOP_HIT,STOP_HIT,5ad896ee-a7dc-4449-9bcb-27cda161425d,-0.193333,0.0,matched
