timestamp_utc,scan_id,scan_source,market_phase,mode,core_group,paper_trade_enabled,candidate_count,placed_count,skipped_count,long_candidate_count,short_candidate_count,placed_long_count,placed_short_count,placement_rate_pct,candidate_symbols,placed_symbols,skipped_symbols,skip_reasons,confidence_values,benchmark_sp500,benchmark_nasdaq,reason
2026-03-27T13:50:03.837886+00:00,2026-03-27T13-50-03.837886+00-00_primary,SCHEDULED,OPENING,primary,non_core,True,0,0,0,0,0,0,0,0.0,,,,,,NEUTRAL,NEUTRAL,No trade today
2026-03-27T14:00:01.569351+00:00,2026-03-27T14-00-01.569351+00-00_secondary,SCHEDULED,MORNING,secondary,non_core,True,6,3,3,0,6,0,3,50.0,"LCID,ACHR,OPEN,QS,PLUG,GRAB","ACHR,OPEN,GRAB","LCID,QS,PLUG",LCID:alpaca_order_rejected|QS:alpaca_order_rejected|PLUG:alpaca_order_rejected,"100.0,70.0,99.0,99.0,99.0,99.0",SELL,SELL,No trade today
2026-03-27T14:10:01.335951+00:00,2026-03-27T14-10-01.335951+00-00_third,SCHEDULED,MORNING,third,non_core,True,2,2,0,0,2,0,2,100.0,"CLOV,RKLB","CLOV,RKLB",,,"93.0,70.0",SELL,SELL,No trade today
2026-03-27T14:20:00.939825+00:00,2026-03-27T14-20-00.939825+00-00_fourth,SCHEDULED,MORNING,fourth,non_core,True,3,3,0,0,3,0,3,100.0,"AI,QBTS,IONQ","AI,QBTS,IONQ",,,"70.0,70.0,70.0",NEUTRAL,NEUTRAL,No trade today
2026-03-27T14:30:01.503294+00:00,2026-03-27T14-30-01.503294+00-00_core_one,SCHEDULED,MORNING,core_one,core,True,5,5,0,0,5,0,5,100.0,"NVDA,TSLA,AMD,PLTR,MSFT","NVDA,TSLA,AMD,PLTR,MSFT",,,"103.0,94.0,101.0,97.0,93.0",SELL,SELL,No trade today
2026-03-27T14:40:01.526477+00:00,2026-03-27T14-40-01.526477+00-00_core_two,SCHEDULED,MORNING,core_two,core,True,3,2,1,0,3,0,2,66.67,"META,AMZN,AVGO","AMZN,AVGO",META,META:max_notional_too_small_for_symbol,"100.0,100.0,91.0",SELL,SELL,No trade today
2026-03-27T14:50:01.533648+00:00,2026-03-27T14-50-01.533648+00-00_primary,SCHEDULED,MORNING,primary,non_core,True,4,4,0,0,4,0,4,100.0,"SOFI,NIO,HIMS,JOBY","SOFI,NIO,HIMS,JOBY",,,"91.0,91.0,99.0,89.0",SELL,SELL,No trade today
2026-03-27T15:00:01.509428+00:00,2026-03-27T15-00-01.509428+00-00_secondary,SCHEDULED,MORNING,secondary,non_core,True,4,2,2,0,4,0,2,50.0,"LCID,ACHR,QS,GRAB","ACHR,QS","LCID,GRAB",LCID:alpaca_order_rejected|GRAB:symbol_already_open,"98.0,98.0,97.0,93.0",NEUTRAL,SELL,No trade today
2026-03-27T15:10:00.837675+00:00,2026-03-27T15-10-00.837675+00-00_third,SCHEDULED,MORNING,third,non_core,True,2,2,0,0,2,0,2,100.0,"RKLB,BBAI","RKLB,BBAI",,,"70.0,93.0",NEUTRAL,SELL,No trade today
2026-03-27T15:20:01.726319+00:00,2026-03-27T15-20-01.726319+00-00_fourth,SCHEDULED,MORNING,fourth,non_core,True,3,1,2,0,3,0,1,33.33,"AI,QBTS,IONQ",QBTS,"AI,IONQ",AI:symbol_already_open|IONQ:symbol_already_open,"98.0,70.0,70.0",SELL,SELL,No trade today
2026-03-27T15:30:00.934981+00:00,2026-03-27T15-30-00.934981+00-00_core_one,SCHEDULED,MORNING,core_one,core,True,1,1,0,0,1,0,1,100.0,AAPL,AAPL,,,100.0,NEUTRAL,NEUTRAL,No trade today
2026-03-27T15:40:01.594074+00:00,2026-03-27T15-40-01.594074+00-00_core_two,SCHEDULED,MORNING,core_two,core,True,3,1,2,1,2,1,0,33.33,"META,AMZN,MU",MU,"META,AMZN",META:max_notional_too_small_for_symbol|AMZN:symbol_already_open,"90.0,90.0,80.0",NEUTRAL,NEUTRAL,No trade today
2026-03-27T15:50:01.468660+00:00,2026-03-27T15-50-01.468660+00-00_primary,SCHEDULED,MORNING,primary,non_core,True,2,1,1,0,2,0,1,50.0,"HIMS,JOBY",JOBY,HIMS,HIMS:symbol_already_open,"80.0,80.0",NEUTRAL,NEUTRAL,No trade today
2026-03-27T16:00:01.475879+00:00,2026-03-27T16-00-01.475879+00-00_secondary,SCHEDULED,MIDDAY,secondary,non_core,True,2,1,1,0,2,0,1,50.0,"LCID,ACHR",ACHR,LCID,LCID:alpaca_order_rejected,"70.0,70.0",NEUTRAL,NEUTRAL,No trade today
2026-03-27T16:10:01.496766+00:00,2026-03-27T16-10-01.496766+00-00_third,SCHEDULED,MIDDAY,third,non_core,True,1,1,0,0,1,0,1,100.0,RKLB,RKLB,,,70.0,SELL,SELL,No trade today
2026-03-27T16:20:01.540060+00:00,2026-03-27T16-20-01.540060+00-00_fourth,SCHEDULED,MIDDAY,fourth,non_core,True,2,2,0,0,2,0,2,100.0,"QBTS,IONQ","QBTS,IONQ",,,"70.0,70.0",SELL,SELL,No trade today
2026-03-27T16:30:01.612954+00:00,2026-03-27T16-30-01.612954+00-00_core_one,SCHEDULED,MIDDAY,core_one,core,True,3,2,1,0,3,0,2,66.67,"NVDA,AAPL,PLTR","NVDA,PLTR",AAPL,AAPL:symbol_already_open,"89.0,91.0,90.0",SELL,SELL,No trade today
