id,run_time,matched_count,unmatched_count,notes,created_at,severity,mismatch_count,run_started_at,run_completed_at
2,2026-03-30 11:38:07.196270+00:00,51,0,file_path=alpaca_reconciliation.csv,2026-03-30 11:38:07.223980+00:00,OK,0,2026-03-30 11:38:07.196270+00:00,2026-03-30 11:38:07.196270+00:00
3,2026-03-30 20:30:21.915946+00:00,51,17,local_output_path=alpaca_reconciliation.csv; gcs_output_uri=gs://stock-scanner-490821-logs/reports/alpaca_reconciliation.csv,2026-03-30 20:30:21.955978+00:00,WARNING,17,2026-03-30 20:30:21.915946+00:00,2026-03-30 20:30:21.915946+00:00
