id,scan_time,mode,scan_source,market_phase,candidate_count,placed_count,skipped_count,created_at
151,2026-04-02 13:55:07.289844+00:00,primary,SCHEDULED,OPENING,0,0,0,2026-04-02 13:55:13.142675+00:00
152,2026-04-02 14:05:06.036311+00:00,secondary,SCHEDULED,MORNING,1,1,0,2026-04-02 14:05:20.089772+00:00
153,2026-04-02 14:15:05.976341+00:00,third,SCHEDULED,MORNING,0,0,0,2026-04-02 14:15:12.605205+00:00
154,2026-04-02 14:25:06.066378+00:00,fourth,SCHEDULED,MORNING,0,0,0,2026-04-02 14:25:11.354372+00:00
155,2026-04-02 14:35:06.445182+00:00,fifth,SCHEDULED,MORNING,0,0,0,2026-04-02 14:35:10.648192+00:00
156,2026-04-02 14:45:04.454034+00:00,sixth,SCHEDULED,MORNING,0,0,0,2026-04-02 14:45:09.079448+00:00
157,2026-04-02 14:55:10.111505+00:00,core_one,SCHEDULED,MORNING,3,3,0,2026-04-02 14:55:20.958955+00:00
158,2026-04-02 15:05:05.890596+00:00,core_two,SCHEDULED,MORNING,2,2,0,2026-04-02 15:05:16.077695+00:00
159,2026-04-02 15:15:07.048534+00:00,core_three,SCHEDULED,MORNING,1,1,0,2026-04-02 15:15:13.172594+00:00
160,2026-04-02 15:25:08.738619+00:00,primary,SCHEDULED,MORNING,1,1,0,2026-04-02 15:25:16.104018+00:00
161,2026-04-02 15:35:08.267920+00:00,secondary,SCHEDULED,MORNING,1,1,0,2026-04-02 15:35:15.776814+00:00
162,2026-04-02 15:45:10.867271+00:00,third,SCHEDULED,MORNING,0,0,0,2026-04-02 15:45:17.664465+00:00
163,2026-04-02 15:55:08.289743+00:00,fourth,SCHEDULED,MORNING,0,0,0,2026-04-02 15:55:13.898806+00:00
164,2026-04-02 16:05:08.237648+00:00,fifth,SCHEDULED,MIDDAY,1,1,0,2026-04-02 16:05:14.841474+00:00
165,2026-04-02 16:15:09.263897+00:00,sixth,SCHEDULED,MIDDAY,1,1,0,2026-04-02 16:15:15.983000+00:00
166,2026-04-02 16:25:08.787603+00:00,core_one,SCHEDULED,MIDDAY,3,1,2,2026-04-02 16:25:17.130082+00:00
167,2026-04-02 16:35:09.367058+00:00,core_two,SCHEDULED,MIDDAY,2,0,2,2026-04-02 16:35:21.670045+00:00
168,2026-04-02 16:45:09.477192+00:00,core_three,SCHEDULED,MIDDAY,0,0,0,2026-04-02 16:45:15.434420+00:00
169,2026-04-02 16:55:10.428235+00:00,primary,SCHEDULED,MIDDAY,1,0,1,2026-04-02 16:55:16.267810+00:00
170,2026-04-02 17:05:09.324318+00:00,secondary,SCHEDULED,MIDDAY,0,0,0,2026-04-02 17:05:14.730718+00:00
171,2026-04-02 17:15:09.254576+00:00,third,SCHEDULED,MIDDAY,0,0,0,2026-04-02 17:15:15.135814+00:00
172,2026-04-02 17:25:09.374126+00:00,fourth,SCHEDULED,MIDDAY,0,0,0,2026-04-02 17:25:14.950162+00:00
173,2026-04-02 17:35:09.366903+00:00,fifth,SCHEDULED,MIDDAY,1,0,1,2026-04-02 17:35:15.655164+00:00
174,2026-04-02 17:45:09.307772+00:00,sixth,SCHEDULED,MIDDAY,0,0,0,2026-04-02 17:45:13.552055+00:00
175,2026-04-02 17:55:09.231885+00:00,core_one,SCHEDULED,MIDDAY,0,0,0,2026-04-02 17:55:14.739899+00:00
176,2026-04-02 18:05:10.199337+00:00,core_two,SCHEDULED,AFTERNOON,2,0,2,2026-04-02 18:05:17.083868+00:00
177,2026-04-02 18:15:10.320676+00:00,core_three,SCHEDULED,AFTERNOON,0,0,0,2026-04-02 18:15:15.124347+00:00
178,2026-04-02 18:25:10.205449+00:00,primary,SCHEDULED,AFTERNOON,2,1,1,2026-04-02 18:25:21.641355+00:00
179,2026-04-02 18:35:09.815563+00:00,secondary,SCHEDULED,AFTERNOON,0,0,0,2026-04-02 18:35:16.608804+00:00
180,2026-04-02 18:45:10.003670+00:00,third,SCHEDULED,AFTERNOON,0,0,0,2026-04-02 18:45:16.307585+00:00
181,2026-04-02 18:55:10.614336+00:00,fourth,SCHEDULED,AFTERNOON,0,0,0,2026-04-02 18:55:16.942457+00:00
182,2026-04-02 19:05:09.283641+00:00,fifth,SCHEDULED,AFTERNOON,1,0,1,2026-04-02 19:05:14.792087+00:00
183,2026-04-02 19:15:10.708200+00:00,sixth,SCHEDULED,AFTERNOON,0,0,0,2026-04-02 19:15:15.334222+00:00
184,2026-04-02 19:25:10.053060+00:00,core_one,SCHEDULED,AFTERNOON,1,1,0,2026-04-02 19:25:18.921210+00:00
185,2026-04-02 19:35:07.981929+00:00,core_two,SCHEDULED,POWER_HOUR,2,0,2,2026-04-02 19:35:14.952401+00:00
186,2026-04-02 19:45:08.505048+00:00,core_three,SCHEDULED,POWER_HOUR,0,0,0,2026-04-02 19:45:13.099065+00:00
