id,order_id,symbol,side,order_type,status,qty,filled_qty,avg_fill_price,submitted_at,filled_at,created_at
621,5b751f63-5a28-430a-93a0-bdc44e8bffc1,PLUG,sell,stop,canceled,4347,0,,2026-04-02 14:05:12.229648+00:00,,2026-04-02 20:30:40.066777+00:00
575,4673e955-0301-43b6-ae51-d39d17f2e4df,PLUG,buy,market,filled,4347,4347,2.313619,2026-04-02 14:05:12.235828+00:00,2026-04-02 14:05:17.582771+00:00,2026-04-02 14:05:19.230129+00:00
576,8842403a-2c49-474a-91c4-54e154c3143a,PLUG,sell,limit,filled,4347,4347,2.36,2026-04-02 14:05:17.590627+00:00,2026-04-02 14:34:52.958001+00:00,2026-04-02 14:35:03.360874+00:00
620,15bcd7e2-4a88-4a16-8245-b8fbea4d4bde,NVDA,sell,stop,canceled,56,0,,2026-04-02 14:55:15.881080+00:00,,2026-04-02 20:30:39.276164+00:00
619,e3b2f134-b4c4-44b0-92ec-af46896a93d1,PLTR,sell,stop,canceled,68,0,,2026-04-02 14:55:17.710605+00:00,,2026-04-02 20:30:38.464917+00:00
577,4e035a5c-e149-4517-b31c-ca3f345d0618,NVDA,buy,market,filled,56,56,175.982857,2026-04-02 14:55:15.886983+00:00,2026-04-02 14:55:18.232146+00:00,2026-04-02 14:55:16.538393+00:00
578,7ef61919-7c62-49c5-b246-7f7c17d3c30d,PLTR,buy,market,filled,68,68,146.94,2026-04-02 14:55:17.723749+00:00,2026-04-02 14:55:18.293401+00:00,2026-04-02 14:55:18.361835+00:00
618,f357080e-b111-40c6-8993-45e768d3911a,PLTR,sell,limit,canceled,68,0,,2026-04-02 14:55:18.315176+00:00,,2026-04-02 20:30:38.191260+00:00
617,cf2a2bae-1c04-412b-8155-c8702a568108,MSFT,sell,stop,canceled,27,0,,2026-04-02 14:55:19.528933+00:00,,2026-04-02 20:30:37.665351+00:00
579,1a9b744d-15d2-4654-a8f7-8c2a938a9443,MSFT,buy,market,filled,27,27,369.316667,2026-04-02 14:55:19.551598+00:00,2026-04-02 14:55:21.354804+00:00,2026-04-02 14:55:20.175157+00:00
616,7253879e-6532-4701-a28a-7cb77a45594c,NFLX,sell,stop,canceled,102,0,,2026-04-02 15:05:12.798826+00:00,,2026-04-02 20:30:36.859453+00:00
615,2546dd84-f515-4873-af45-4d55a9335a42,AVGO,sell,stop,canceled,32,0,,2026-04-02 15:05:14.617694+00:00,,2026-04-02 20:30:36.065368+00:00
581,88bd4db5-f223-46c2-aac4-cc62aa20d042,AVGO,buy,market,filled,32,32,312.69,2026-04-02 15:05:14.650103+00:00,2026-04-02 15:05:14.925955+00:00,2026-04-02 15:05:15.299090+00:00
614,22fc9bbf-8be6-493a-9a34-4b3c2f47b643,AVGO,sell,limit,canceled,32,0,,2026-04-02 15:05:14.934663+00:00,,2026-04-02 20:30:35.796435+00:00
580,36852139-ddfb-49f4-bee2-b703fd52ff3a,NFLX,buy,market,filled,102,102,97.519804,2026-04-02 15:05:12.808420+00:00,2026-04-02 15:05:15.606754+00:00,2026-04-02 15:05:13.458700+00:00
582,d2b50855-7515-46f4-9d31-35031900c72d,ADBE,buy,market,filled,41,41,242.37,2026-04-02 15:15:11.753452+00:00,2026-04-02 15:15:14.944451+00:00,2026-04-02 15:15:12.405703+00:00
613,d57e4828-e23a-45c1-9d63-1429886179ac,ADBE,sell,limit,canceled,41,0,,2026-04-02 15:15:14.952773+00:00,,2026-04-02 20:30:35.007136+00:00
583,296e9a14-8500-4e4a-8861-28106810b453,ADBE,sell,stop,filled,41,41,241.21,2026-04-02 15:20:23.892452+00:00,2026-04-02 15:20:25.326559+00:00,2026-04-02 15:25:03.314157+00:00
612,7a13bc2d-5f47-430e-8f06-d0ee61528eb5,RIVN,sell,stop,canceled,658,0,,2026-04-02 15:25:14.684740+00:00,,2026-04-02 20:30:34.480549+00:00
584,bd850cab-2d14-468e-9008-2725fbdaaf3a,RIVN,buy,market,filled,658,658,15.198374,2026-04-02 15:25:14.691827+00:00,2026-04-02 15:25:16.010695+00:00,2026-04-02 15:25:15.318980+00:00
585,1b088880-01f8-493d-8bce-c8764d6e236f,GRAB,buy,market,filled,2735,2735,3.66,2026-04-02 15:35:14.297267+00:00,2026-04-02 15:35:16.058696+00:00,2026-04-02 15:35:14.968944+00:00
611,f3d8bb78-ae4d-4304-bede-32f1b0b38ed9,GRAB,sell,limit,canceled,2735,0,,2026-04-02 15:35:16.067317+00:00,,2026-04-02 20:30:33.424773+00:00
586,8c292df8-9d40-4dcf-ac46-612d7211f802,GRAB,sell,stop,filled,2735,2735,3.64,2026-04-02 15:38:30.085188+00:00,2026-04-02 15:38:30.437232+00:00,2026-04-02 15:45:03.955267+00:00
587,644d693d-dd00-4dbd-b738-288f306e8111,MSFT,sell,limit,filled,27,27,371.230371,2026-04-02 14:55:21.362772+00:00,2026-04-02 15:44:53.568536+00:00,2026-04-02 15:45:07.270798+00:00
610,606ee1de-5c3e-4a3e-9842-19e067f9e094,HOOD,sell,stop,canceled,144,0,,2026-04-02 16:05:13.345663+00:00,,2026-04-02 20:30:32.886500+00:00
588,b97391a0-1309-4f13-8980-da7c8c203464,HOOD,buy,market,filled,144,144,68.96,2026-04-02 16:05:13.353290+00:00,2026-04-02 16:05:14.708225+00:00,2026-04-02 16:05:14.016050+00:00
609,8b854494-b395-4415-bfee-f98ca092c4bd,HOOD,sell,limit,canceled,144,0,,2026-04-02 16:05:14.723494+00:00,,2026-04-02 20:30:32.614386+00:00
608,56217128-f78d-4189-9739-5faa5c4f1ebf,WULF,sell,stop,canceled,693,0,,2026-04-02 16:15:14.497437+00:00,,2026-04-02 20:30:32.089507+00:00
589,82b0c6bf-f660-4497-811d-5d095f095d34,WULF,buy,market,filled,693,693,14.42,2026-04-02 16:15:14.506760+00:00,2026-04-02 16:15:16.011250+00:00,2026-04-02 16:15:15.167015+00:00
607,85c8fe22-28a1-4978-97b2-46a10978c261,MSFT,sell,stop,canceled,26,0,,2026-04-02 16:25:15.666708+00:00,,2026-04-02 20:30:31.315581+00:00
590,8e7980a4-479a-4d6a-bb78-38586a8f2719,MSFT,buy,market,filled,26,26,369.73,2026-04-02 16:25:15.674477+00:00,2026-04-02 16:25:16.425272+00:00,2026-04-02 16:25:16.332864+00:00
606,12867e17-961b-4dc1-9093-7fc2e84288f3,NIO,sell,stop,canceled,1609,0,,2026-04-02 18:25:20.171239+00:00,,2026-04-02 20:30:30.530551+00:00
591,61d71130-0e72-40a3-8163-784c7f392123,NIO,buy,market,filled,1609,1609,6.22,2026-04-02 18:25:20.183542+00:00,2026-04-02 18:25:21.032513+00:00,2026-04-02 18:25:20.832040+00:00
605,2e1e782b-92dc-4d7e-9e6c-eb5e491500b5,NIO,sell,limit,canceled,1609,0,,2026-04-02 18:25:21.052582+00:00,,2026-04-02 20:30:30.269478+00:00
592,65d833f5-275f-4d23-9d01-c3654cf317ac,WULF,sell,limit,filled,693,693,14.75,2026-04-02 16:15:16.037560+00:00,2026-04-02 18:52:06.457520+00:00,2026-04-02 18:55:04.555172+00:00
593,f52fd6ab-efab-4b61-881a-11b16dc65f50,NVDA,sell,limit,filled,56,56,177.33,2026-04-02 14:55:18.253972+00:00,2026-04-02 19:10:47.703870+00:00,2026-04-02 19:15:08.390528+00:00
595,cb095777-0454-4df7-b6b7-6edfba0b67c9,RIVN,sell,limit,filled,658,658,15.44,2026-04-02 15:25:16.024486+00:00,2026-04-02 19:19:29.038019+00:00,2026-04-02 19:25:05.826205+00:00
594,368c438f-d8ec-41f5-aa52-ca3b43774fb5,MSFT,sell,limit,filled,26,26,372.21,2026-04-02 16:25:16.434828+00:00,2026-04-02 19:22:53.755121+00:00,2026-04-02 19:25:03.995524+00:00
604,3f7cd57b-0247-4431-8d47-3011a2ea181e,AAPL,sell,stop,canceled,39,0,,2026-04-02 19:25:17.452362+00:00,,2026-04-02 20:30:29.752791+00:00
596,33572642-0cf0-4d8b-b5a9-10d1d16aff4a,AAPL,buy,market,filled,39,39,255.27,2026-04-02 19:25:17.459762+00:00,2026-04-02 19:25:18.114559+00:00,2026-04-02 19:25:18.139528+00:00
603,57a67e94-f10f-4002-9b6d-9d900ba0eb20,AAPL,sell,limit,canceled,39,0,,2026-04-02 19:25:18.123189+00:00,,2026-04-02 20:30:29.485189+00:00
602,8a91394e-fcc4-499b-95ee-8316f87203cb,NFLX,sell,limit,filled,102,102,98.380294,2026-04-02 15:05:15.635625+00:00,2026-04-02 19:54:51.102281+00:00,2026-04-02 20:30:24.549935+00:00
597,d1526b1c-782b-4c4d-a15c-b48e33ed74a2,AAPL,sell,market,filled,39,39,255.877692,2026-04-02 19:55:14.027470+00:00,2026-04-02 19:55:16.487692+00:00,2026-04-02 19:55:11.333750+00:00
599,508cddc3-a175-4955-b5d0-1d61eb7066aa,HOOD,sell,market,filled,144,144,68.85,2026-04-02 19:55:19.416222+00:00,2026-04-02 19:55:21.588312+00:00,2026-04-02 19:55:19.293440+00:00
600,20b8810d-798d-463e-9657-2b69c44e493a,NIO,sell,market,filled,1609,1609,6.27,2026-04-02 19:55:20.195826+00:00,2026-04-02 19:55:22.233541+00:00,2026-04-02 19:55:20.584576+00:00
598,77ae48f3-a68f-4bb9-8f74-9b7d580fdebf,AVGO,sell,market,filled,32,32,314.4375,2026-04-02 19:55:18.230697+00:00,2026-04-02 19:55:23.799056+00:00,2026-04-02 19:55:16.213203+00:00
601,c0156c38-8175-4e47-9222-a482ac9f3b93,PLTR,sell,market,filled,68,68,148.16,2026-04-02 19:55:21.364769+00:00,2026-04-02 19:55:25.674419+00:00,2026-04-02 19:55:21.873097+00:00
