id,event_time,event_type,symbol,side,shares,price,mode,order_id,parent_order_id,status,created_at
187,2026-04-02 14:05:06.036311+00:00,OPEN,PLUG,BUY,4347,2.3,secondary,4673e955-0301-43b6-ae51-d39d17f2e4df,4673e955-0301-43b6-ae51-d39d17f2e4df,OPEN,2026-04-02 14:05:18.678915+00:00
188,2026-04-02 14:35:02.852956+00:00,TARGET_HIT,PLUG,BUY,4347,2.36,,8842403a-2c49-474a-91c4-54e154c3143a,4673e955-0301-43b6-ae51-d39d17f2e4df,CLOSED,2026-04-02 14:35:03.090459+00:00
189,2026-04-02 14:55:10.111505+00:00,OPEN,NVDA,BUY,56,175.695,core_one,4e035a5c-e149-4517-b31c-ca3f345d0618,4e035a5c-e149-4517-b31c-ca3f345d0618,OPEN,2026-04-02 14:55:16.273259+00:00
190,2026-04-02 14:55:10.111505+00:00,OPEN,PLTR,BUY,68,146.755,core_one,7ef61919-7c62-49c5-b246-7f7c17d3c30d,7ef61919-7c62-49c5-b246-7f7c17d3c30d,OPEN,2026-04-02 14:55:18.098017+00:00
191,2026-04-02 14:55:10.111505+00:00,OPEN,MSFT,BUY,27,368.96,core_one,1a9b744d-15d2-4654-a8f7-8c2a938a9443,1a9b744d-15d2-4654-a8f7-8c2a938a9443,OPEN,2026-04-02 14:55:19.913111+00:00
192,2026-04-02 15:05:05.890596+00:00,OPEN,NFLX,BUY,102,97.36,core_two,36852139-ddfb-49f4-bee2-b703fd52ff3a,36852139-ddfb-49f4-bee2-b703fd52ff3a,OPEN,2026-04-02 15:05:13.209297+00:00
193,2026-04-02 15:05:05.890596+00:00,OPEN,AVGO,BUY,32,312.05,core_two,88bd4db5-f223-46c2-aac4-cc62aa20d042,88bd4db5-f223-46c2-aac4-cc62aa20d042,OPEN,2026-04-02 15:05:15.040641+00:00
194,2026-04-02 15:15:07.048534+00:00,OPEN,ADBE,BUY,41,242.57,core_three,d2b50855-7515-46f4-9d31-35031900c72d,d2b50855-7515-46f4-9d31-35031900c72d,OPEN,2026-04-02 15:15:12.131856+00:00
195,2026-04-02 15:25:02.799453+00:00,STOP_HIT,ADBE,BUY,41,241.21,,296e9a14-8500-4e4a-8861-28106810b453,d2b50855-7515-46f4-9d31-35031900c72d,CLOSED,2026-04-02 15:25:03.031348+00:00
196,2026-04-02 15:25:08.738619+00:00,OPEN,RIVN,BUY,658,15.195,primary,bd850cab-2d14-468e-9008-2725fbdaaf3a,bd850cab-2d14-468e-9008-2725fbdaaf3a,OPEN,2026-04-02 15:25:15.066382+00:00
197,2026-04-02 15:35:08.267920+00:00,OPEN,GRAB,BUY,2735,3.655,secondary,1b088880-01f8-493d-8bce-c8764d6e236f,1b088880-01f8-493d-8bce-c8764d6e236f,OPEN,2026-04-02 15:35:14.692650+00:00
198,2026-04-02 15:45:02.928064+00:00,STOP_HIT,GRAB,BUY,2735,3.64,,8c292df8-9d40-4dcf-ac46-612d7211f802,1b088880-01f8-493d-8bce-c8764d6e236f,CLOSED,2026-04-02 15:45:03.156120+00:00
199,2026-04-02 15:45:06.765297+00:00,TARGET_HIT,MSFT,BUY,27,371.2304,,644d693d-dd00-4dbd-b738-288f306e8111,1a9b744d-15d2-4654-a8f7-8c2a938a9443,CLOSED,2026-04-02 15:45:06.994717+00:00
200,2026-04-02 16:05:08.237648+00:00,OPEN,HOOD,BUY,144,68.99,fifth,b97391a0-1309-4f13-8980-da7c8c203464,b97391a0-1309-4f13-8980-da7c8c203464,OPEN,2026-04-02 16:05:13.748365+00:00
201,2026-04-02 16:15:09.263897+00:00,OPEN,WULF,BUY,693,14.42,sixth,82b0c6bf-f660-4497-811d-5d095f095d34,82b0c6bf-f660-4497-811d-5d095f095d34,OPEN,2026-04-02 16:15:14.899038+00:00
202,2026-04-02 16:25:08.787603+00:00,OPEN,MSFT,BUY,26,369.86,core_one,8e7980a4-479a-4d6a-bb78-38586a8f2719,8e7980a4-479a-4d6a-bb78-38586a8f2719,OPEN,2026-04-02 16:25:16.073940+00:00
203,2026-04-02 18:25:10.205449+00:00,OPEN,NIO,BUY,1609,6.215,primary,61d71130-0e72-40a3-8163-784c7f392123,61d71130-0e72-40a3-8163-784c7f392123,OPEN,2026-04-02 18:25:20.566712+00:00
