id,event_time,event_type,symbol,side,shares,price,mode,order_id,parent_order_id,status,created_at,broker
289,2026-04-08 14:55:08.491498+00:00,OPEN,PLTR,SELL,67,148.25,core_one,df9734ac-d5c7-43ad-9d4f-395e8f69559b,df9734ac-d5c7-43ad-9d4f-395e8f69559b,OPEN,2026-04-08 14:55:14.916371+00:00,ALPACA
290,2026-04-08 16:25:02.703342+00:00,TARGET_HIT,PLTR,SELL,67,144.9081,,7706b5df-8d4c-4a67-ac75-e27b318f7756,df9734ac-d5c7-43ad-9d4f-395e8f69559b,CLOSED,2026-04-08 16:25:02.933162+00:00,ALPACA
291,2026-04-08 16:25:05.190328+00:00,OPEN,TSLA,SELL,28,346.33,core_one,efc113aa-6493-4701-ad6d-b0ed80cb0987,efc113aa-6493-4701-ad6d-b0ed80cb0987,OPEN,2026-04-08 16:25:11.150033+00:00,ALPACA
292,2026-04-08 20:30:16.286060+00:00,MANUAL_CLOSE,TSLA,SELL,28,342.95,,de73e01b-a730-476f-b7d6-7245dd553a40,efc113aa-6493-4701-ad6d-b0ed80cb0987,CLOSED,2026-04-08 20:30:16.503874+00:00,ALPACA
