id,order_id,symbol,side,order_type,status,qty,filled_qty,avg_fill_price,submitted_at,filled_at,created_at,broker
740,b751b165-1764-4d5c-9e97-73237436ab21,PLTR,buy,stop,canceled,67,0,,2026-04-08 14:55:14.420185+00:00,,2026-04-08 20:30:20.103411+00:00,
734,df9734ac-d5c7-43ad-9d4f-395e8f69559b,PLTR,sell,market,filled,67,67,147.863582,2026-04-08 14:55:14.428460+00:00,2026-04-08 14:55:18.839717+00:00,2026-04-08 14:55:15.173408+00:00,ALPACA
735,7706b5df-8d4c-4a67-ac75-e27b318f7756,PLTR,buy,limit,filled,67,67,144.90806,2026-04-08 14:55:18.853486+00:00,2026-04-08 16:22:29.357130+00:00,2026-04-08 16:25:03.251063+00:00,ALPACA
739,15462a21-e98e-485e-a740-c6663a811bd2,TSLA,buy,stop,canceled,28,0,,2026-04-08 16:25:10.771973+00:00,,2026-04-08 20:30:19.317468+00:00,
736,efc113aa-6493-4701-ad6d-b0ed80cb0987,TSLA,sell,market,filled,28,28,346.45,2026-04-08 16:25:10.778081+00:00,2026-04-08 16:25:11.510384+00:00,2026-04-08 16:25:11.405610+00:00,ALPACA
738,f504f754-5ed9-4ca7-a052-a413a11860aa,TSLA,buy,limit,canceled,28,0,,2026-04-08 16:25:11.556216+00:00,,2026-04-08 20:30:19.052232+00:00,
737,de73e01b-a730-476f-b7d6-7245dd553a40,TSLA,buy,market,filled,28,28,342.95,2026-04-08 19:55:29.417218+00:00,2026-04-08 19:55:30.812042+00:00,2026-04-08 19:55:17.794663+00:00,ALPACA
