id,order_id,symbol,side,order_type,status,qty,filled_qty,avg_fill_price,submitted_at,filled_at,created_at,broker
748,10,NIO,SELL,exit,reconciled_closed,1612,1612,6.2,2026-04-10 13:55:02.345976+00:00,2026-04-10 13:55:02.345976+00:00,2026-04-09 14:25:28.332575+00:00,IBKR
847,34eea7f1-36a2-4431-93da-75febc6635ee,NFLX,sell,market,filled,98,98,101.74,2026-04-10 14:05:11.149464+00:00,2026-04-10 14:05:12.940132+00:00,2026-04-10 14:05:11.772490+00:00,ALPACA
871,3566a603-a449-44ad-9fba-89eafeba9cbb,NFLX,buy,limit,canceled,98,0,,2026-04-10 14:05:13.117121+00:00,,2026-04-10 20:30:27.105041+00:00,
848,2e12c6c8-6cf6-4ca2-8c8f-79420c94d51b,NFLX,buy,stop,filled,98,98,102.07,2026-04-10 14:26:07.128753+00:00,2026-04-10 14:26:07.853564+00:00,2026-04-10 14:35:04.401921+00:00,ALPACA
849,48a74c78-8b5b-4f09-9ada-f192750feeee,AAPL,buy,market,filled,37,37,261.448919,2026-04-10 15:25:09.941691+00:00,2026-04-10 15:25:11.808229+00:00,2026-04-10 15:25:10.564798+00:00,ALPACA
870,2735eae6-a7e8-4282-aed7-6d907a767152,AAPL,sell,limit,canceled,37,0,,2026-04-10 15:25:11.816632+00:00,,2026-04-10 20:30:26.345912+00:00,
850,22c8eda1-bd81-4a10-b071-7718265b5be8,AMD,buy,market,filled,39,39,249.21,2026-04-10 15:25:11.744906+00:00,2026-04-10 15:25:12.708044+00:00,2026-04-10 15:25:12.348998+00:00,ALPACA
869,49709deb-f648-4be8-8619-daf31dd6c213,AMD,sell,limit,canceled,39,0,,2026-04-10 15:25:12.723428+00:00,,2026-04-10 20:30:25.578930+00:00,
852,40,NVDA,BUY,bracket_entry,PendingSubmit,52,,,2026-04-10 15:36:53.464246+00:00,,2026-04-10 15:37:02.032375+00:00,IBKR
856,8b4d4a09-7bf7-48ab-83c5-b6bb5f8c87cb,AMD,sell,stop,filled,39,39,246.37,2026-04-10 15:40:48.362511+00:00,2026-04-10 15:40:49.713086+00:00,2026-04-10 15:45:06.106860+00:00,ALPACA
855,58,SMCI,BUY,exit,reconciled_closed,399,399,25.04,2026-04-10 15:55:05.551762+00:00,2026-04-10 15:55:05.551762+00:00,2026-04-10 15:37:41.101541+00:00,IBKR
857,15d65cc1-7388-47fd-9d22-4792b5958bb5,SOFI,sell,market,filled,309,309,16.18,2026-04-10 15:55:17.342921+00:00,2026-04-10 15:55:17.979952+00:00,2026-04-10 15:55:17.968899+00:00,ALPACA
868,3507095f-0cab-4b07-8e1f-378e45abe9ab,SOFI,buy,limit,canceled,309,0,,2026-04-10 15:55:18.003304+00:00,,2026-04-10 20:30:24.804158+00:00,
867,c8872e7c-b729-4fc6-84ef-c29ca8ec1afa,SNAP,buy,stop,canceled,1044,0,,2026-04-10 15:55:19.172586+00:00,,2026-04-10 20:30:24.297914+00:00,
858,890a8b74-c1a6-4d06-a4f4-29c146df0f1e,SNAP,sell,market,filled,1044,1044,4.77,2026-04-10 15:55:19.180198+00:00,2026-04-10 15:55:20.937080+00:00,2026-04-10 15:55:19.836479+00:00,ALPACA
866,2856a59a-7c40-4963-a5cd-f2ad419eab4b,SNAP,buy,limit,canceled,1044,0,,2026-04-10 15:55:21.674157+00:00,,2026-04-10 20:30:24.039140+00:00,
859,5c08977d-e54e-4a9f-a75c-2b0e0a38f2df,JOBY,sell,market,filled,601,601,8.29,2026-04-10 15:55:21.686685+00:00,2026-04-10 15:55:23.613342+00:00,2026-04-10 15:55:21.666121+00:00,ALPACA
865,ff202de5-c100-426e-9568-ced8520581c2,JOBY,buy,limit,canceled,601,0,,2026-04-10 15:55:23.643924+00:00,,2026-04-10 20:30:23.274670+00:00,
860,e8c90d41-0c06-4c1d-a4db-b10f7c043b60,AAPL,sell,stop,filled,37,37,260.653513,2026-04-10 16:05:03.712569+00:00,2026-04-10 16:05:08.714671+00:00,2026-04-10 16:05:28.453868+00:00,ALPACA
854,52,MU,BUY,exit,reconciled_closed,23,23,422.77,2026-04-10 16:05:24.737544+00:00,2026-04-10 16:05:24.737544+00:00,2026-04-10 15:37:23.941637+00:00,IBKR
851,34,RIVN,BUY,exit,reconciled_closed,317,317,15.71,2026-04-10 16:05:26.774748+00:00,2026-04-10 16:05:26.774748+00:00,2026-04-10 15:35:23.798807+00:00,IBKR
861,a208e332-d685-412f-b211-894bdb44b141,JOBY,buy,stop,filled,601,601,8.36,2026-04-10 16:12:51.695038+00:00,2026-04-10 16:12:52.799849+00:00,2026-04-10 16:15:05.266178+00:00,ALPACA
862,9d2bec84-3798-4f42-9b9b-5e48db6e0339,SOFI,buy,stop,filled,309,309,16.28,2026-04-10 16:13:49.529702+00:00,2026-04-10 16:13:51.133105+00:00,2026-04-10 16:15:07.143905+00:00,ALPACA
853,46,AAPL,BUY,exit,reconciled_closed,38,38,261.52,2026-04-10 16:25:08.320742+00:00,2026-04-10 16:25:08.320742+00:00,2026-04-10 15:37:03.791493+00:00,IBKR
864,close-request-NVDA-2026-04-10T19:55:30.186193+00:00,NVDA,sell,market,PendingSubmit,52,52,,2026-04-10 19:55:30.186193+00:00,,2026-04-10 19:55:30.426293+00:00,IBKR
863,e47c554a-6e86-4873-9811-1a41f9bdf400,SNAP,buy,market,filled,1044,1044,4.79,2026-04-10 19:55:32.975855+00:00,2026-04-10 19:55:33.914621+00:00,2026-04-10 19:55:20.620467+00:00,ALPACA
