id,trade_key,symbol,mode,side,direction,status,entry_time,exit_time,duration_minutes,shares,entry_price,exit_price,stop_price,target_price,exit_reason,signal_timestamp,signal_entry,signal_stop,signal_target,signal_confidence,order_id,parent_order_id,exit_order_id,realized_pnl,realized_pnl_percent,created_at,updated_at,broker
154,10,NIO,primary,SELL,SHORT,CLOSED,2026-04-09 14:25:20.717167+00:00,2026-04-10 13:55:02.345976+00:00,1409.69,1612,6.2,6.2,6.312,5.976,STALE_OPEN_RECONCILED,2026-04-09 14:25:20.717167+00:00,6.2,6.312,5.976,101,10,10,10,0,0,2026-04-09 14:25:28.583340+00:00,2026-04-10 13:55:03.112647+00:00,IBKR
181,34eea7f1-36a2-4431-93da-75febc6635ee,NFLX,core_two,SELL,SHORT,CLOSED,2026-04-10 14:05:03.493030+00:00,2026-04-10 14:35:03.900878+00:00,30.01,98,101.575,102.07,102.0265,100.672,STOP_HIT,2026-04-10 14:05:03.493030+00:00,101.575,102.0265,100.672,93,34eea7f1-36a2-4431-93da-75febc6635ee,34eea7f1-36a2-4431-93da-75febc6635ee,2e12c6c8-6cf6-4ca2-8c8f-79420c94d51b,-48.51,-0.487325,2026-04-10 14:05:12.056225+00:00,2026-04-10 14:35:04.663941+00:00,ALPACA
185,40,NVDA,core_one,BUY,LONG,OPEN,2026-04-10 15:36:53.464246+00:00,,,52,189.59,,187.532,193.706,,2026-04-10 15:36:53.464246+00:00,189.59,187.532,193.706,97,40,40,,,,2026-04-10 15:37:02.286298+00:00,2026-04-10 15:37:02.286298+00:00,IBKR
183,22c8eda1-bd81-4a10-b071-7718265b5be8,AMD,core_one,BUY,LONG,CLOSED,2026-04-10 15:25:04.096446+00:00,2026-04-10 15:45:05.644459+00:00,20.03,39,248.87,246.37,246.406,253.798,STOP_HIT,2026-04-10 15:25:04.096446+00:00,248.87,246.406,253.798,100,22c8eda1-bd81-4a10-b071-7718265b5be8,22c8eda1-bd81-4a10-b071-7718265b5be8,8b4d4a09-7bf7-48ab-83c5-b6bb5f8c87cb,-97.5,-1.004541,2026-04-10 15:25:12.597905+00:00,2026-04-10 15:45:06.359990+00:00,ALPACA
188,58,SMCI,core_three,BUY,LONG,CLOSED,2026-04-10 15:37:34.126750+00:00,2026-04-10 15:55:05.551762+00:00,17.52,399,25.04,25.04,24.7145,25.691,STALE_OPEN_RECONCILED,2026-04-10 15:37:34.126750+00:00,25.04,24.7145,25.691,96,58,58,58,0,0,2026-04-10 15:37:41.352383+00:00,2026-04-10 15:55:06.327275+00:00,IBKR
187,52,MU,core_two,BUY,LONG,CLOSED,2026-04-10 15:37:13.898875+00:00,2026-04-10 16:05:24.737544+00:00,28.18,23,422.77,422.77,417.905,432.5,STALE_OPEN_RECONCILED,2026-04-10 15:37:13.898875+00:00,422.77,417.905,432.5,89,52,52,52,0,0,2026-04-10 15:37:24.194614+00:00,2026-04-10 16:05:25.491965+00:00,IBKR
184,34,RIVN,primary,BUY,LONG,CLOSED,2026-04-10 15:35:13.732929+00:00,2026-04-10 16:05:26.774748+00:00,30.22,317,15.71,15.71,15.493,16.144,STALE_OPEN_RECONCILED,2026-04-10 15:35:13.732929+00:00,15.71,15.493,16.144,94,34,34,34,0,0,2026-04-10 15:35:24.050647+00:00,2026-04-10 16:05:27.516874+00:00,IBKR
182,48a74c78-8b5b-4f09-9ada-f192750feeee,AAPL,core_one,BUY,LONG,CLOSED,2026-04-10 15:25:04.096446+00:00,2026-04-10 16:05:27.979908+00:00,40.4,37,261.42,260.6535,260.63574,262.98852,STOP_HIT,2026-04-10 15:25:04.096446+00:00,261.42,260.63574,262.98852,91,48a74c78-8b5b-4f09-9ada-f192750feeee,48a74c78-8b5b-4f09-9ada-f192750feeee,e8c90d41-0c06-4c1d-a4db-b10f7c043b60,-28.3605,-0.293206,2026-04-10 15:25:10.823936+00:00,2026-04-10 16:05:28.713931+00:00,ALPACA
191,5c08977d-e54e-4a9f-a75c-2b0e0a38f2df,JOBY,primary,SELL,SHORT,CLOSED,2026-04-10 15:55:11.647989+00:00,2026-04-10 16:15:04.740471+00:00,19.88,601,8.31,8.36,8.359,8.212,STOP_HIT,2026-04-10 15:55:11.647989+00:00,8.31,8.359,8.212,82,5c08977d-e54e-4a9f-a75c-2b0e0a38f2df,5c08977d-e54e-4a9f-a75c-2b0e0a38f2df,a208e332-d685-412f-b211-894bdb44b141,-30.05,-0.601685,2026-04-10 15:55:21.932670+00:00,2026-04-10 16:15:05.535938+00:00,ALPACA
189,15d65cc1-7388-47fd-9d22-4792b5958bb5,SOFI,primary,SELL,SHORT,CLOSED,2026-04-10 15:55:11.647989+00:00,2026-04-10 16:15:06.630327+00:00,19.92,309,16.18,16.28,16.278,15.984,STOP_HIT,2026-04-10 15:55:11.647989+00:00,16.18,16.278,15.984,84,15d65cc1-7388-47fd-9d22-4792b5958bb5,15d65cc1-7388-47fd-9d22-4792b5958bb5,9d2bec84-3798-4f42-9b9b-5e48db6e0339,-30.9,-0.618047,2026-04-10 15:55:18.241869+00:00,2026-04-10 16:15:07.405102+00:00,ALPACA
186,46,AAPL,core_one,BUY,LONG,CLOSED,2026-04-10 15:36:53.464246+00:00,2026-04-10 16:25:08.320742+00:00,48.25,38,261.52,261.52,260.582,263.396,STALE_OPEN_RECONCILED,2026-04-10 15:36:53.464246+00:00,261.52,260.582,263.396,92,46,46,46,0,0,2026-04-10 15:37:04.052120+00:00,2026-04-10 16:25:09.090062+00:00,IBKR
190,890a8b74-c1a6-4d06-a4f4-29c146df0f1e,SNAP,primary,SELL,SHORT,CLOSED,2026-04-10 15:55:11.647989+00:00,2026-04-10 20:30:10.926592+00:00,274.99,1044,4.785,4.79,4.8585,4.638,EXTERNAL_EXIT,2026-04-10 15:55:11.647989+00:00,4.785,4.8585,4.638,91,890a8b74-c1a6-4d06-a4f4-29c146df0f1e,890a8b74-c1a6-4d06-a4f4-29c146df0f1e,e47c554a-6e86-4873-9811-1a41f9bdf400,-5.22,-0.104493,2026-04-10 15:55:20.101605+00:00,2026-04-10 20:30:11.709713+00:00,ALPACA
