id,event_time,event_type,symbol,side,shares,price,mode,order_id,parent_order_id,status,created_at
215,2026-04-06 13:55:04.361441+00:00,OPEN,HIMS,BUY,497,20.1,primary,5dbfc376-05ad-4bc4-a341-6e19037bbba2,5dbfc376-05ad-4bc4-a341-6e19037bbba2,OPEN,2026-04-06 13:55:10.564747+00:00
216,2026-04-06 14:05:02.837203+00:00,STOP_HIT,HIMS,BUY,497,19.9485,,6aa1286d-dbcd-43ce-a160-5953d01d880a,5dbfc376-05ad-4bc4-a341-6e19037bbba2,CLOSED,2026-04-06 14:05:03.111409+00:00
217,2026-04-06 17:15:04.233918+00:00,OPEN,RKLB,SELL,149,66.905,third,dfcfa8ba-f6d6-4ba9-822a-502985fe557f,dfcfa8ba-f6d6-4ba9-822a-502985fe557f,OPEN,2026-04-06 17:15:11.056506+00:00
218,2026-04-06 17:35:02.784336+00:00,STOP_HIT,RKLB,SELL,149,67.7791,,fcb47d1c-3a37-4449-880c-79ba954a2fc2,dfcfa8ba-f6d6-4ba9-822a-502985fe557f,CLOSED,2026-04-06 17:35:03.015841+00:00
