id,order_id,symbol,side,order_type,status,qty,filled_qty,avg_fill_price,submitted_at,filled_at,created_at
622,5dbfc376-05ad-4bc4-a341-6e19037bbba2,HIMS,buy,market,filled,497,497,20.07,2026-04-06 13:55:10.167480+00:00,2026-04-06 13:55:10.701974+00:00,2026-04-06 13:55:10.842869+00:00
627,dd4ff7df-d7eb-4aeb-86a2-8aff69852cda,HIMS,sell,limit,canceled,497,0,,2026-04-06 13:55:10.727629+00:00,,2026-04-06 20:30:26.879835+00:00
623,6aa1286d-dbcd-43ce-a160-5953d01d880a,HIMS,sell,stop,filled,497,497,19.948511,2026-04-06 14:00:00.760595+00:00,2026-04-06 14:00:02.522394+00:00,2026-04-06 14:05:03.467368+00:00
624,dfcfa8ba-f6d6-4ba9-822a-502985fe557f,RKLB,sell,market,filled,149,149,67.054765,2026-04-06 17:15:10.669344+00:00,2026-04-06 17:15:13.960818+00:00,2026-04-06 17:15:11.336252+00:00
626,f0750854-182b-4bfa-9ab1-36e9b36c6073,RKLB,buy,limit,canceled,149,0,,2026-04-06 17:15:13.983086+00:00,,2026-04-06 20:30:25.298456+00:00
625,fcb47d1c-3a37-4449-880c-79ba954a2fc2,RKLB,buy,stop,filled,149,149,67.779061,2026-04-06 17:34:32.880631+00:00,2026-04-06 17:34:36.211025+00:00,2026-04-06 17:35:03.295617+00:00
