id,trade_key,symbol,mode,side,direction,status,entry_time,exit_time,duration_minutes,shares,entry_price,exit_price,stop_price,target_price,exit_reason,signal_timestamp,signal_entry,signal_stop,signal_target,signal_confidence,order_id,parent_order_id,exit_order_id,realized_pnl,realized_pnl_percent,created_at,updated_at
114,580ae8fb-8398-48fa-accb-086610af16e7,PLUG,secondary,SELL,SHORT,CLOSED,2026-04-07 14:05:05.760009+00:00,2026-04-07 14:15:02.746125+00:00,9.95,4007,2.495,2.54,2.544,2.397,STOP_HIT,2026-04-07 14:05:05.760009+00:00,2.495,2.544,2.397,99,580ae8fb-8398-48fa-accb-086610af16e7,580ae8fb-8398-48fa-accb-086610af16e7,8db9053e-ddff-4fb4-8a56-8984ed087e78,-180.315,-1.803607,2026-04-07 14:05:19.941164+00:00,2026-04-07 14:15:03.534746+00:00
113,c1b5bf21-40e7-4310-99b1-447ac1844968,QS,secondary,SELL,SHORT,CLOSED,2026-04-07 14:05:05.760009+00:00,2026-04-07 14:45:05.819546+00:00,40,1623,6.16,6.09,6.19325,6.0935,TARGET_HIT,2026-04-07 14:05:05.760009+00:00,6.16,6.19325,6.0935,91,c1b5bf21-40e7-4310-99b1-447ac1844968,c1b5bf21-40e7-4310-99b1-447ac1844968,7ef1fe56-28f6-4aeb-b739-b8c8a95f00b9,113.61,1.136364,2026-04-07 14:05:18.010619+00:00,2026-04-07 14:45:06.585668+00:00
121,4c7792b2-8399-4771-b8fc-481fda1135c1,WULF,sixth,SELL,SHORT,CLOSED,2026-04-07 14:45:10.395827+00:00,2026-04-07 14:55:02.174019+00:00,9.86,648,15.41,15.59,15.5885,15.053,STOP_HIT,2026-04-07 14:45:10.395827+00:00,15.41,15.5885,15.053,88,4c7792b2-8399-4771-b8fc-481fda1135c1,4c7792b2-8399-4771-b8fc-481fda1135c1,b0f37a2b-6704-4cfb-b913-f03991821a4a,-116.64,-1.168073,2026-04-07 14:45:16.480550+00:00,2026-04-07 14:55:02.936756+00:00
119,8c946881-82a8-42a9-a18d-737360b3ebb2,AFRM,fifth,SELL,SHORT,CLOSED,2026-04-07 14:35:09.412903+00:00,2026-04-07 14:55:04.010128+00:00,19.91,211,47.22,47.4517,47.4475,46.765,STOP_HIT,2026-04-07 14:35:09.412903+00:00,47.22,47.4475,46.765,97,8c946881-82a8-42a9-a18d-737360b3ebb2,8c946881-82a8-42a9-a18d-737360b3ebb2,1946048f-8f75-4289-9528-5b09a5fee494,-48.8887,-0.490682,2026-04-07 14:35:15.046818+00:00,2026-04-07 14:55:04.758368+00:00
117,781258c2-e6f0-4dd3-846a-87f0821428ac,QBTS,fourth,SELL,SHORT,CLOSED,2026-04-07 14:25:08.881828+00:00,2026-04-07 14:55:05.829506+00:00,29.95,735,13.59,13.6898,13.6985,13.373,STOP_HIT,2026-04-07 14:25:08.881828+00:00,13.59,13.6985,13.373,94,781258c2-e6f0-4dd3-846a-87f0821428ac,781258c2-e6f0-4dd3-846a-87f0821428ac,5fc3faf2-8693-40c7-8d63-fa1aac3bfe08,-73.353,-0.734364,2026-04-07 14:25:22.483843+00:00,2026-04-07 14:55:07.182879+00:00
120,289ebeed-9f03-46f1-bd61-01f80e39f5a9,HOOD,fifth,SELL,SHORT,CLOSED,2026-04-07 14:35:09.412903+00:00,2026-04-07 15:15:05.776942+00:00,39.94,148,67.52,66.9032,67.8245,66.911,TARGET_HIT,2026-04-07 14:35:09.412903+00:00,67.52,67.8245,66.911,96,289ebeed-9f03-46f1-bd61-01f80e39f5a9,289ebeed-9f03-46f1-bd61-01f80e39f5a9,4a33f8d6-be62-4a07-be1c-588a59888607,91.2864,0.913507,2026-04-07 14:35:16.918862+00:00,2026-04-07 15:15:06.567829+00:00
112,e289f172-b9b3-4280-bddb-b89e33d4d51e,OPEN,secondary,SELL,SHORT,CLOSED,2026-04-07 14:05:05.760009+00:00,2026-04-07 15:15:08.859490+00:00,70.05,2249,4.445,4.39,4.47125,4.3925,TARGET_HIT,2026-04-07 14:05:05.760009+00:00,4.445,4.47125,4.3925,99,e289f172-b9b3-4280-bddb-b89e33d4d51e,e289f172-b9b3-4280-bddb-b89e33d4d51e,820f6c8a-61b0-4dd2-aa7c-cefac6ccfa90,123.695,1.237345,2026-04-07 14:05:16.082561+00:00,2026-04-07 15:15:09.596981+00:00
110,ff1e7a2c-aecc-42c4-8ff4-8125c8fc2af3,RIVN,primary,SELL,SHORT,CLOSED,2026-04-07 13:55:04.889851+00:00,2026-04-07 15:15:10.662815+00:00,80.1,680,14.69,14.44,14.816,14.438,TARGET_HIT,2026-04-07 13:55:04.889851+00:00,14.69,14.816,14.438,103,ff1e7a2c-aecc-42c4-8ff4-8125c8fc2af3,ff1e7a2c-aecc-42c4-8ff4-8125c8fc2af3,e471d51e-224f-4280-9455-4861b9076e5d,170,1.701838,2026-04-07 13:55:15.275278+00:00,2026-04-07 15:15:11.403264+00:00
126,11c04f84-921a-44ae-bd07-247800e1fb04,AMZN,core_two,SELL,SHORT,CLOSED,2026-04-07 15:05:10.353928+00:00,2026-04-07 15:25:04.573151+00:00,19.9,1,209.52,210.17,210.192,208.176,STOP_HIT,2026-04-07 15:05:10.353928+00:00,209.52,210.192,208.176,96,11c04f84-921a-44ae-bd07-247800e1fb04,11c04f84-921a-44ae-bd07-247800e1fb04,72b19346-d0f9-4dab-ac1e-2261ed696545,-0.65,-0.310233,2026-04-07 15:05:23.212696+00:00,2026-04-07 15:25:05.460998+00:00
125,a37f13e5-3103-4cd8-9549-67c1e7a1ae31,META,core_two,SELL,SHORT,CLOSED,2026-04-07 15:05:10.353928+00:00,2026-04-07 15:25:05.931253+00:00,19.93,2,565.74,568.265,567.43722,562.34556,STOP_HIT,2026-04-07 15:05:10.353928+00:00,565.74,567.43722,562.34556,94,a37f13e5-3103-4cd8-9549-67c1e7a1ae31,a37f13e5-3103-4cd8-9549-67c1e7a1ae31,27828ed2-4875-4fdb-ab04-435010496ecd,-5.05,-0.446318,2026-04-07 15:05:19.005735+00:00,2026-04-07 15:25:06.705549+00:00
124,c37e2fc1-ae31-4f10-b199-4c364bcbe005,PLTR,core_one,SELL,SHORT,CLOSED,2026-04-07 14:55:12.195111+00:00,2026-04-07 15:25:07.174952+00:00,29.92,68,146.46,147.15,146.9815,145.417,STOP_HIT,2026-04-07 14:55:12.195111+00:00,146.46,146.9815,145.417,90,c37e2fc1-ae31-4f10-b199-4c364bcbe005,c37e2fc1-ae31-4f10-b199-4c364bcbe005,4c388530-8ce5-454a-8a96-7f404bc4280f,-46.92,-0.471118,2026-04-07 14:55:22.805749+00:00,2026-04-07 15:25:07.913733+00:00
111,36e65137-dc3e-4c3c-9cfb-2a2158d53a06,ACHR,secondary,SELL,SHORT,CLOSED,2026-04-07 14:05:05.760009+00:00,2026-04-07 15:25:11.400538+00:00,80.09,1883,5.31,5.36,5.36425,5.2015,STOP_HIT,2026-04-07 14:05:05.760009+00:00,5.31,5.36425,5.2015,95,36e65137-dc3e-4c3c-9cfb-2a2158d53a06,36e65137-dc3e-4c3c-9cfb-2a2158d53a06,be2dcdbc-9b39-4b03-b053-e5e10a88ff7f,-94.15,-0.94162,2026-04-07 14:05:12.404096+00:00,2026-04-07 15:25:12.160681+00:00
127,b54248c0-6365-45a5-8bec-8e104e843259,ARM,core_three,SELL,SHORT,CLOSED,2026-04-07 15:15:13.396660+00:00,2026-04-07 15:35:05.272016+00:00,19.86,71,138.9,140.58,140.5345,135.631,STOP_HIT,2026-04-07 15:15:13.396660+00:00,138.9,140.5345,135.631,100,b54248c0-6365-45a5-8bec-8e104e843259,b54248c0-6365-45a5-8bec-8e104e843259,a0d92f3e-8eb2-413d-9415-1591303e8ad6,-119.28,-1.209503,2026-04-07 15:15:19.413621+00:00,2026-04-07 15:35:06.033032+00:00
116,416ed18d-9e0a-4a33-a03a-196c2281391a,AI,fourth,SELL,SHORT,CLOSED,2026-04-07 14:25:08.881828+00:00,2026-04-07 15:35:08.298410+00:00,69.99,1170,8.54,8.6,8.589,8.442,STOP_HIT,2026-04-07 14:25:08.881828+00:00,8.54,8.589,8.442,100,416ed18d-9e0a-4a33-a03a-196c2281391a,416ed18d-9e0a-4a33-a03a-196c2281391a,9c858cfb-4a98-417f-a63f-1ebc2da43e4e,-70.2,-0.702576,2026-04-07 14:25:20.567580+00:00,2026-04-07 15:35:09.032195+00:00
