id,event_time,event_type,symbol,side,shares,price,mode,order_id,parent_order_id,status,created_at
241,2026-04-07 15:15:05.776942+00:00,TARGET_HIT,HOOD,SELL,148,66.9032,,4a33f8d6-be62-4a07-be1c-588a59888607,289ebeed-9f03-46f1-bd61-01f80e39f5a9,CLOSED,2026-04-07 15:15:06.019261+00:00
242,2026-04-07 15:15:08.859490+00:00,TARGET_HIT,OPEN,SELL,2249,4.39,,820f6c8a-61b0-4dd2-aa7c-cefac6ccfa90,e289f172-b9b3-4280-bddb-b89e33d4d51e,CLOSED,2026-04-07 15:15:09.073242+00:00
243,2026-04-07 15:15:10.662815+00:00,TARGET_HIT,RIVN,SELL,680,14.44,,e471d51e-224f-4280-9455-4861b9076e5d,ff1e7a2c-aecc-42c4-8ff4-8125c8fc2af3,CLOSED,2026-04-07 15:15:10.886456+00:00
244,2026-04-07 15:15:13.396660+00:00,OPEN,ARM,SELL,71,138.9,core_three,b54248c0-6365-45a5-8bec-8e104e843259,b54248c0-6365-45a5-8bec-8e104e843259,OPEN,2026-04-07 15:15:18.874068+00:00
245,2026-04-07 15:15:13.396660+00:00,OPEN,ADBE,SELL,41,239.79,core_three,fea8e8b8-bb34-4557-82ae-66d5fc7f74c5,fea8e8b8-bb34-4557-82ae-66d5fc7f74c5,OPEN,2026-04-07 15:15:20.763903+00:00
246,2026-04-07 15:25:04.573151+00:00,STOP_HIT,AMZN,SELL,1,210.17,,72b19346-d0f9-4dab-ac1e-2261ed696545,11c04f84-921a-44ae-bd07-247800e1fb04,CLOSED,2026-04-07 15:25:04.813850+00:00
247,2026-04-07 15:25:05.931253+00:00,STOP_HIT,META,SELL,2,568.265,,27828ed2-4875-4fdb-ab04-435010496ecd,a37f13e5-3103-4cd8-9549-67c1e7a1ae31,CLOSED,2026-04-07 15:25:06.169541+00:00
248,2026-04-07 15:25:07.174952+00:00,STOP_HIT,PLTR,SELL,68,147.15,,4c388530-8ce5-454a-8a96-7f404bc4280f,c37e2fc1-ae31-4f10-b199-4c364bcbe005,CLOSED,2026-04-07 15:25:07.397938+00:00
249,2026-04-07 15:25:11.400538+00:00,STOP_HIT,ACHR,SELL,1883,5.36,,be2dcdbc-9b39-4b03-b053-e5e10a88ff7f,36e65137-dc3e-4c3c-9cfb-2a2158d53a06,CLOSED,2026-04-07 15:25:11.623452+00:00
250,2026-04-07 15:25:14.496315+00:00,OPEN,RIVN,SELL,687,14.545,primary,57b72bd7-893e-4674-a83a-beb48ba48215,57b72bd7-893e-4674-a83a-beb48ba48215,OPEN,2026-04-07 15:25:20.770535+00:00
251,2026-04-07 15:25:14.496315+00:00,OPEN,SNAP,SELL,2136,4.68,primary,190c0099-8ddc-42f8-be1d-496ac4c5436b,190c0099-8ddc-42f8-be1d-496ac4c5436b,OPEN,2026-04-07 15:25:22.645968+00:00
252,2026-04-07 15:25:14.496315+00:00,OPEN,HIMS,SELL,346,19.23,primary,7a90353b-27a3-4a5c-afdd-0e3a853c5efa,7a90353b-27a3-4a5c-afdd-0e3a853c5efa,OPEN,2026-04-07 15:25:24.569210+00:00
253,2026-04-07 15:35:05.272016+00:00,STOP_HIT,ARM,SELL,71,140.58,,a0d92f3e-8eb2-413d-9415-1591303e8ad6,b54248c0-6365-45a5-8bec-8e104e843259,CLOSED,2026-04-07 15:35:05.499412+00:00
254,2026-04-07 15:35:08.298410+00:00,STOP_HIT,AI,SELL,1170,8.6,,9c858cfb-4a98-417f-a63f-1ebc2da43e4e,416ed18d-9e0a-4a33-a03a-196c2281391a,CLOSED,2026-04-07 15:35:08.520449+00:00
255,2026-04-07 15:35:09.488780+00:00,STOP_HIT,RKLB,SELL,153,65.8724,,a6ca1d5c-ebd7-4292-b981-8b0e99982a3d,44322645-86a1-429b-baa6-6c787ab6ff28,CLOSED,2026-04-07 15:35:09.701389+00:00
256,2026-04-07 15:35:12.206555+00:00,OPEN,OPEN,SELL,2254,4.435,secondary,3a972d57-2e65-401c-b14c-b454735942f7,3a972d57-2e65-401c-b14c-b454735942f7,OPEN,2026-04-07 15:35:18.607810+00:00
257,2026-04-07 15:35:12.206555+00:00,OPEN,QS,SELL,1632,6.12,secondary,f533645a-3411-490e-b33a-8ed5014fcd9a,f533645a-3411-490e-b33a-8ed5014fcd9a,OPEN,2026-04-07 15:35:21.088422+00:00
258,2026-04-07 15:45:03.822573+00:00,STOP_HIT,OPEN,SELL,2254,4.46,,d6562074-ab2e-473e-ab86-68cc122b3515,3a972d57-2e65-401c-b14c-b454735942f7,CLOSED,2026-04-07 15:45:04.098006+00:00
259,2026-04-07 15:45:05.110256+00:00,STOP_HIT,HIMS,SELL,346,19.36,,d47892a9-f674-4b70-aaaa-fa6553cca3c2,7a90353b-27a3-4a5c-afdd-0e3a853c5efa,CLOSED,2026-04-07 15:45:05.332155+00:00
260,2026-04-07 15:45:06.362763+00:00,STOP_HIT,SNAP,SELL,2136,4.74,,72049182-f4e4-4d4e-b355-60449ce62287,190c0099-8ddc-42f8-be1d-496ac4c5436b,CLOSED,2026-04-07 15:45:06.581533+00:00
261,2026-04-07 15:45:08.187692+00:00,STOP_HIT,ADBE,SELL,41,241,,f6b20a32-457c-4a20-bf01-36aa1cb68aaa,fea8e8b8-bb34-4557-82ae-66d5fc7f74c5,CLOSED,2026-04-07 15:45:08.424451+00:00
262,2026-04-07 15:45:12.888512+00:00,OPEN,TAL,SELL,890,11.23,third,d5270487-bcb9-46ef-b75a-1225c655e01a,d5270487-bcb9-46ef-b75a-1225c655e01a,OPEN,2026-04-07 15:45:19.934281+00:00
263,2026-04-07 15:45:12.888512+00:00,OPEN,BBAI,SELL,2923,3.42,third,c11bbc96-6046-460f-aa22-8a2c2a70d532,c11bbc96-6046-460f-aa22-8a2c2a70d532,OPEN,2026-04-07 15:45:22.098557+00:00
264,2026-04-07 15:48:57.321069+00:00,OPEN,JOBY,SELL,1207,8.28,primary,63d9ede2-3e09-4588-9f93-27fbb5dc8419,63d9ede2-3e09-4588-9f93-27fbb5dc8419,OPEN,2026-04-07 15:49:04.290775+00:00
265,2026-04-07 15:50:14.846917+00:00,OPEN,PLUG,SELL,4073,2.455,secondary,60e58f4c-ae76-463d-ade5-484839d9a97d,60e58f4c-ae76-463d-ade5-484839d9a97d,OPEN,2026-04-07 15:50:22.007464+00:00
266,2026-04-07 15:53:16.311910+00:00,OPEN,AMD,SELL,14,216.77,core_one,1befa45b-4e2c-4655-946c-0452bd098242,1befa45b-4e2c-4655-946c-0452bd098242,OPEN,2026-04-07 15:53:23.293822+00:00
267,2026-04-07 15:53:16.311910+00:00,OPEN,MSFT,SELL,16,368.62,core_one,30494ae2-3bcf-43c7-ab2f-4fa8046d51f2,30494ae2-3bcf-43c7-ab2f-4fa8046d51f2,OPEN,2026-04-07 15:53:25.143469+00:00
268,2026-04-07 15:55:04.676880+00:00,STOP_HIT,BBAI,SELL,2923,3.44,,fbb342d3-5240-4a29-b371-f95815b20890,c11bbc96-6046-460f-aa22-8a2c2a70d532,CLOSED,2026-04-07 15:55:04.904939+00:00
269,2026-04-07 15:55:11.050898+00:00,OPEN,QBTS,SELL,242,13.48,fourth,d294a884-7000-4ab1-89d3-45aed26c30b8,d294a884-7000-4ab1-89d3-45aed26c30b8,OPEN,2026-04-07 15:55:18.825847+00:00
270,2026-04-07 15:55:11.050898+00:00,OPEN,NU,SELL,150,13.865,fourth,b0474f3a-8481-412b-bded-a3cb20fa5adf,b0474f3a-8481-412b-bded-a3cb20fa5adf,OPEN,2026-04-07 15:55:21.089869+00:00
271,2026-04-07 16:05:02.795025+00:00,STOP_HIT,NU,SELL,150,13.92,,651d3d6a-4adf-43e3-bd9a-9b0b3300caec,b0474f3a-8481-412b-bded-a3cb20fa5adf,CLOSED,2026-04-07 16:05:03.039668+00:00
272,2026-04-07 16:05:04.060042+00:00,STOP_HIT,QBTS,SELL,242,13.59,,cf387316-394e-4cd3-a977-a3b34642c78d,d294a884-7000-4ab1-89d3-45aed26c30b8,CLOSED,2026-04-07 16:05:04.285561+00:00
273,2026-04-07 16:05:05.322746+00:00,STOP_HIT,MSFT,SELL,16,369.75,,5ad52973-8a63-42d0-b4f0-400a0e6ecf5d,30494ae2-3bcf-43c7-ab2f-4fa8046d51f2,CLOSED,2026-04-07 16:05:05.548326+00:00
274,2026-04-07 16:05:06.537592+00:00,STOP_HIT,AMD,SELL,14,218.1114,,5a7447e0-0d94-4a47-b754-ad6eadbcf9b9,1befa45b-4e2c-4655-946c-0452bd098242,CLOSED,2026-04-07 16:05:06.760071+00:00
275,2026-04-07 16:05:07.749497+00:00,STOP_HIT,PLUG,SELL,4073,2.5,,67869942-9e65-4796-a502-ec226e55cef9,60e58f4c-ae76-463d-ade5-484839d9a97d,CLOSED,2026-04-07 16:05:07.968726+00:00
276,2026-04-07 16:05:08.956591+00:00,STOP_HIT,JOBY,SELL,1207,8.37,,dadc61d7-b31b-4b18-85f8-d54f6eb835b6,63d9ede2-3e09-4588-9f93-27fbb5dc8419,CLOSED,2026-04-07 16:05:09.186299+00:00
277,2026-04-07 16:05:10.571593+00:00,STOP_HIT,TAL,SELL,890,11.28,,581d35ad-2b36-494f-8750-200a02b1f34a,d5270487-bcb9-46ef-b75a-1225c655e01a,CLOSED,2026-04-07 16:05:11.092883+00:00
278,2026-04-07 16:05:12.345839+00:00,STOP_HIT,QS,SELL,1632,6.16,,b0b0c8cf-d2e0-4dbb-8909-0148d5c22e55,f533645a-3411-490e-b33a-8ed5014fcd9a,CLOSED,2026-04-07 16:05:12.573107+00:00
279,2026-04-07 16:05:13.591967+00:00,STOP_HIT,RIVN,SELL,687,14.6573,,f364a612-8a72-48fc-978e-03aecf4b71d9,57b72bd7-893e-4674-a83a-beb48ba48215,CLOSED,2026-04-07 16:05:13.819871+00:00
280,2026-04-07 16:05:14.844906+00:00,STOP_HIT,AAPL,SELL,40,249.01,,ffac949c-d7f9-4a5c-bae7-0c73b40caab8,130c1b33-f472-461d-b8d0-b23cd5cffe2e,CLOSED,2026-04-07 16:05:15.062649+00:00
281,2026-04-07 16:05:16.117179+00:00,STOP_HIT,NVDA,SELL,57,175.3982,,e36e232a-0562-47a0-b27a-93d2b5934f92,bba6e9ef-d650-4749-bc9f-85fb72faf88c,CLOSED,2026-04-07 16:05:16.341557+00:00
282,2026-04-07 16:05:17.363061+00:00,STOP_HIT,IONQ,SELL,360,28.05,,6351c563-6cb8-4037-b12a-13bb4d313449,c8042c4a-4bdf-4ae5-a3db-be5e69174b0a,CLOSED,2026-04-07 16:05:17.611235+00:00
283,2026-04-07 16:25:04.826355+00:00,OPEN,TSLA,SELL,29,341.39,core_one,7438da32-d013-4246-be95-56fea9424a5a,7438da32-d013-4246-be95-56fea9424a5a,OPEN,2026-04-07 16:25:11.517844+00:00
284,2026-04-07 16:45:02.747580+00:00,STOP_HIT,TSLA,SELL,29,342.64,,7e681772-d5cd-45ea-a802-d9b8116a3777,7438da32-d013-4246-be95-56fea9424a5a,CLOSED,2026-04-07 16:45:02.976624+00:00
285,2026-04-07 17:25:05.265471+00:00,OPEN,QBTS,SELL,738,13.535,fourth,33cab54f-b979-4190-b1af-fb8444444baa,33cab54f-b979-4190-b1af-fb8444444baa,OPEN,2026-04-07 17:25:11.521117+00:00
286,2026-04-07 17:25:05.265471+00:00,OPEN,IONQ,SELL,360,27.77,fourth,575fd5da-71bf-45d0-8911-8d829a7aa376,575fd5da-71bf-45d0-8911-8d829a7aa376,OPEN,2026-04-07 17:25:13.411114+00:00
287,2026-04-07 17:35:03.338571+00:00,STOP_HIT,QBTS,SELL,738,13.64,,c5e50ef1-6ec2-4b47-9018-f096e3c8eacd,33cab54f-b979-4190-b1af-fb8444444baa,CLOSED,2026-04-07 17:35:03.575036+00:00
288,2026-04-07 17:45:02.752758+00:00,STOP_HIT,IONQ,SELL,360,28.089,,affd90c0-cbbb-4203-8d59-7e8df969b5aa,575fd5da-71bf-45d0-8911-8d829a7aa376,CLOSED,2026-04-07 17:45:02.982322+00:00
