id,timestamp_utc,scan_id,scan_source,market_phase,scan_execution_time_ms,mode,account_size,current_open_positions,current_open_exposure,timing_ok,source,trade_count,top_name,top_symbol,current_price,entry,stop,target,shares,confidence,reason,benchmark_sp500,benchmark_nasdaq,paper_trade_enabled,paper_trade_candidate_count,paper_trade_long_candidate_count,paper_trade_short_candidate_count,paper_trade_placed_count,paper_trade_placed_long_count,paper_trade_placed_short_count,paper_candidate_symbols,paper_candidate_confidences,paper_skipped_symbols,paper_skip_reasons,paper_placed_symbols,paper_trade_ids,created_at
186,2026-04-07 13:55:04.889851+00:00,2026-04-07T13-55-04.889851+00-00_primary,SCHEDULED,OPENING,10447,primary,99859.07,1,9989.2,True,PRIMARY,0,,,,,,,,,No trade today,,,True,1,0,1,1,0,1,RIVN,103.0,,,RIVN,scanner-RIVN-SELL-146900-680,2026-04-07 13:55:15.568101+00:00
187,2026-04-07 14:05:05.760009+00:00,2026-04-07T14-05-05.760009+00-00_secondary,SCHEDULED,MORNING,14219,secondary,99865.87,5,50003.69,True,SECONDARY,0,,,,,,,,,No trade today,,,True,4,0,4,4,0,4,"ACHR,OPEN,QS,PLUG","95.0,99.0,91.0,99.0",,,"ACHR,OPEN,QS,PLUG","scanner-ACHR-SELL-53100-1883,scanner-OPEN-SELL-44450-2249,scanner-QS-SELL-61600-1623,scanner-PLUG-SELL-24950-4007",2026-04-07 14:05:20.221176+00:00
188,2026-04-07 14:15:08.059001+00:00,2026-04-07T14-15-08.059001+00-00_third,SCHEDULED,MORNING,7506,third,99782.56,5,49847.8567,True,THIRD,0,,,,,,,,,No trade today,,,True,1,0,1,1,0,1,RKLB,100.0,,,RKLB,scanner-RKLB-SELL-650900-153,2026-04-07 14:15:15.791588+00:00
189,2026-04-07 14:25:08.881828+00:00,2026-04-07T14-25-08.881828+00-00_fourth,SCHEDULED,MORNING,15510,fourth,99601.45,8,79997.8218,True,FOURTH,0,,,,,,,,,No trade today,,,True,4,0,4,3,0,3,"SOUN,AI,QBTS,IONQ","100.0,100.0,94.0,100.0",SOUN,SOUN:alpaca_order_rejected,"AI,QBTS,IONQ","scanner-AI-SELL-85400-1170,scanner-QBTS-SELL-135900-735,scanner-IONQ-SELL-277600-360",2026-04-07 14:25:24.614791+00:00
190,2026-04-07 14:35:09.412903+00:00,2026-04-07T14-35-09.412903+00-00_fifth,SCHEDULED,MORNING,7815,fifth,99789.9,10,99745.355,True,FIFTH,0,,,,,,,,,No trade today,,,True,3,0,3,2,0,2,"AFRM,HOOD,PTON","97.0,96.0,91.0",PTON,PTON:No meaningful allocatable capital remains.,"AFRM,HOOD","scanner-AFRM-SELL-472200-211,scanner-HOOD-SELL-675200-148",2026-04-07 14:35:17.461495+00:00
191,2026-04-07 14:45:10.395827+00:00,2026-04-07T14-45-10.395827+00-00_sixth,SCHEDULED,MORNING,6126,sixth,100039.3,10,99543.074,True,SIXTH,0,,,,,,,,,No trade today,,,True,1,0,1,1,0,1,WULF,88.0,,,WULF,scanner-WULF-SELL-154100-648,2026-04-07 14:45:16.739953+00:00
192,2026-04-07 14:55:12.195111+00:00,2026-04-07T14-55-12.195111+00-00_core_one,SCHEDULED,MORNING,10923,core_one,99720.32,10,99490.59,True,CORE_ONE,0,,,,,,,,,No trade today,,,True,4,0,4,3,0,3,"NVDA,AAPL,PLTR,MSFT","94.0,101.0,90.0,90.0",MSFT,MSFT:Position size too small for current allocation/slot settings.,"NVDA,AAPL,PLTR","scanner-NVDA-SELL-1748450-57,scanner-AAPL-SELL-2467800-40,scanner-PLTR-SELL-1464600-68",2026-04-07 14:55:23.337901+00:00
193,2026-04-07 15:05:10.353928+00:00,2026-04-07T15-05-10.353928+00-00_core_two,SCHEDULED,MORNING,13157,core_two,100287.28,12,100248.2351,True,CORE_TWO,0,,,,,,,,,No trade today,,,True,3,0,3,2,0,2,"META,AMZN,GOOGL","94.0,96.0,95.0",GOOGL,GOOGL:No meaningful allocatable capital remains.,"META,AMZN","scanner-META-SELL-5657400-2,scanner-AMZN-SELL-2095200-1",2026-04-07 15:05:23.743953+00:00
194,2026-04-07 15:15:13.396660+00:00,2026-04-07T15-15-13.396660+00-00_core_three,SCHEDULED,MORNING,7962,core_three,99926.69,12,94050.1143,True,CORE_THREE,0,,,,,,,,,No trade today,,,True,2,0,2,2,0,2,"ARM,ADBE","100.0,98.0",,,"ARM,ADBE","scanner-ARM-SELL-1389000-71,scanner-ADBE-SELL-2397900-41",2026-04-07 15:15:21.594897+00:00
195,2026-04-07 15:25:14.496315+00:00,2026-04-07T15-25-14.496315+00-00_primary,SCHEDULED,MORNING,10909,primary,99590.76,11,99576.9842,True,PRIMARY,0,,,,,,,,,No trade today,,,True,4,0,4,3,0,3,"RIVN,SNAP,HIMS,JOBY","101.0,98.0,99.0,99.0",JOBY,JOBY:No meaningful allocatable capital remains.,"RIVN,SNAP,HIMS","scanner-RIVN-SELL-145450-687,scanner-SNAP-SELL-46800-2136,scanner-HIMS-SELL-192300-346",2026-04-07 15:25:25.644254+00:00
196,2026-04-07 15:35:12.206555+00:00,2026-04-07T15-35-12.206555+00-00_secondary,SCHEDULED,MORNING,10613,secondary,99229.69,9,86451.5254,True,SECONDARY,0,,,,,,,,,No trade today,,,True,3,0,3,2,0,2,"OPEN,QS,PLUG","93.0,93.0,93.0",PLUG,PLUG:alpaca_order_rejected,"OPEN,QS","scanner-OPEN-SELL-44350-2254,scanner-QS-SELL-61200-1632",2026-04-07 15:35:23.057000+00:00
197,2026-04-07 15:45:12.888512+00:00,2026-04-07T15-45-12.888512+00-00_third,SCHEDULED,MORNING,9804,third,99122.58,7,69760.7036,True,THIRD,0,,,,,,,,,No trade today,,,True,3,0,3,2,0,2,"TAL,RKLB,BBAI","87.0,94.0,91.0",RKLB,RKLB:cooldown_active,"TAL,BBAI","scanner-TAL-SELL-112300-890,scanner-BBAI-SELL-34200-2923",2026-04-07 15:45:22.925577+00:00
198,2026-04-07 15:48:57.321069+00:00,2026-04-07T15-48-57.321069+00-00_primary,MANUAL,MORNING,7531,primary,99051.83,8,79774.7307,True,PRIMARY,0,,,,,,,,,No trade today,,,True,3,0,3,1,0,1,"RIVN,HIMS,JOBY","97.0,95.0,95.0","RIVN,HIMS",RIVN:symbol_already_open|HIMS:cooldown_active,JOBY,scanner-JOBY-SELL-82800-1207,2026-04-07 15:49:05.080046+00:00
199,2026-04-07 15:49:42.702741+00:00,2026-04-07T15-49-42.702741+00-00_secondary,MANUAL,MORNING,5152,secondary,99003.07,8,79805.3877,True,SECONDARY,0,,,,,,,,,No trade today,,,True,1,0,1,0,0,0,OPEN,93.0,OPEN,OPEN:stop_cooldown_until_2026-04-07T16:15:03.822573+00:00,,,2026-04-07 15:49:48.085529+00:00
200,2026-04-07 15:50:14.846917+00:00,2026-04-07T15-50-14.846917+00-00_secondary,MANUAL,MORNING,7748,secondary,98949.01,9,89867.645,True,SECONDARY,0,,,,,,,,,No trade today,,,True,3,0,3,1,0,1,"OPEN,QS,PLUG","93.0,92.0,93.0","OPEN,QS",OPEN:stop_cooldown_until_2026-04-07T16:15:03.822573+00:00|QS:symbol_already_open,PLUG,scanner-PLUG-SELL-24550-4073,2026-04-07 15:50:22.816208+00:00
201,2026-04-07 15:51:03.248322+00:00,2026-04-07T15-51-03.248322+00-00_third,MANUAL,MORNING,7006,third,98958.52,9,89836.5155,True,THIRD,0,,,,,,,,,No trade today,,,True,3,0,3,0,0,0,"TAL,RKLB,BBAI","89.0,91.0,91.0","TAL,RKLB,BBAI",TAL:symbol_already_open|RKLB:cooldown_active|BBAI:symbol_already_open,,,2026-04-07 15:51:10.572625+00:00
