id,scan_time,mode,scan_source,market_phase,candidate_count,placed_count,skipped_count,created_at
270,2026-04-07 13:55:04.889851+00:00,primary,SCHEDULED,OPENING,1,1,0,2026-04-07 13:55:15.866963+00:00
271,2026-04-07 14:05:05.760009+00:00,secondary,SCHEDULED,MORNING,4,4,0,2026-04-07 14:05:20.497099+00:00
272,2026-04-07 14:15:08.059001+00:00,third,SCHEDULED,MORNING,1,1,0,2026-04-07 14:15:16.059662+00:00
273,2026-04-07 14:25:08.881828+00:00,fourth,SCHEDULED,MORNING,4,3,1,2026-04-07 14:25:24.881711+00:00
274,2026-04-07 14:35:09.412903+00:00,fifth,SCHEDULED,MORNING,3,2,1,2026-04-07 14:35:17.736012+00:00
275,2026-04-07 14:45:10.395827+00:00,sixth,SCHEDULED,MORNING,1,1,0,2026-04-07 14:45:17.010777+00:00
276,2026-04-07 14:55:12.195111+00:00,core_one,SCHEDULED,MORNING,4,3,1,2026-04-07 14:55:23.606783+00:00
277,2026-04-07 15:05:10.353928+00:00,core_two,SCHEDULED,MORNING,3,2,1,2026-04-07 15:05:24.020853+00:00
278,2026-04-07 15:15:13.396660+00:00,core_three,SCHEDULED,MORNING,2,2,0,2026-04-07 15:15:21.889964+00:00
279,2026-04-07 15:25:14.496315+00:00,primary,SCHEDULED,MORNING,4,3,1,2026-04-07 15:25:25.912750+00:00
280,2026-04-07 15:35:12.206555+00:00,secondary,SCHEDULED,MORNING,3,2,1,2026-04-07 15:35:23.324380+00:00
281,2026-04-07 15:45:12.888512+00:00,third,SCHEDULED,MORNING,3,2,1,2026-04-07 15:45:23.203300+00:00
282,2026-04-07 15:48:57.321069+00:00,primary,MANUAL,MORNING,3,1,2,2026-04-07 15:49:05.345895+00:00
283,2026-04-07 15:49:42.702741+00:00,secondary,MANUAL,MORNING,1,0,1,2026-04-07 15:49:48.343342+00:00
284,2026-04-07 15:50:14.846917+00:00,secondary,MANUAL,MORNING,3,1,2,2026-04-07 15:50:23.084280+00:00
285,2026-04-07 15:51:03.248322+00:00,third,MANUAL,MORNING,3,0,3,2026-04-07 15:51:10.828804+00:00
286,2026-04-07 15:53:16.311910+00:00,core_one,MANUAL,MORNING,4,2,2,2026-04-07 15:53:26.208673+00:00
287,2026-04-07 15:55:11.050898+00:00,fourth,SCHEDULED,MORNING,5,2,3,2026-04-07 15:55:22.175339+00:00
288,2026-04-07 16:05:20.279603+00:00,fifth,SCHEDULED,MIDDAY,0,0,0,2026-04-07 16:05:24.315948+00:00
289,2026-04-07 16:15:04.298447+00:00,sixth,SCHEDULED,MIDDAY,0,0,0,2026-04-07 16:15:08.803134+00:00
290,2026-04-07 16:25:04.826355+00:00,core_one,SCHEDULED,MIDDAY,2,1,1,2026-04-07 16:25:16.495752+00:00
291,2026-04-07 16:35:05.031433+00:00,core_two,SCHEDULED,MIDDAY,0,0,0,2026-04-07 16:35:10.801239+00:00
292,2026-04-07 16:45:05.613696+00:00,core_three,SCHEDULED,MIDDAY,0,0,0,2026-04-07 16:45:09.721172+00:00
293,2026-04-07 16:55:04.256412+00:00,primary,SCHEDULED,MIDDAY,0,0,0,2026-04-07 16:55:09.866292+00:00
294,2026-04-07 17:05:04.802552+00:00,secondary,SCHEDULED,MIDDAY,0,0,0,2026-04-07 17:05:12.153391+00:00
295,2026-04-07 17:15:04.789230+00:00,third,SCHEDULED,MIDDAY,0,0,0,2026-04-07 17:15:10.984799+00:00
296,2026-04-07 17:25:05.265471+00:00,fourth,SCHEDULED,MIDDAY,2,2,0,2026-04-07 17:25:14.517285+00:00
297,2026-04-07 17:35:06.162016+00:00,fifth,SCHEDULED,MIDDAY,0,0,0,2026-04-07 17:35:10.163433+00:00
298,2026-04-07 17:45:05.498261+00:00,sixth,SCHEDULED,MIDDAY,0,0,0,2026-04-07 17:45:09.444232+00:00
299,2026-04-07 17:55:04.923349+00:00,core_one,SCHEDULED,MIDDAY,0,0,0,2026-04-07 17:55:10.282753+00:00
300,2026-04-07 18:05:05.300766+00:00,core_two,SCHEDULED,AFTERNOON,0,0,0,2026-04-07 18:05:16.441676+00:00
301,2026-04-07 18:15:04.398215+00:00,core_three,SCHEDULED,AFTERNOON,0,0,0,2026-04-07 18:15:10.889640+00:00
302,2026-04-07 18:25:03.758985+00:00,primary,SCHEDULED,AFTERNOON,0,0,0,2026-04-07 18:25:09.784996+00:00
303,2026-04-07 18:35:03.762201+00:00,secondary,SCHEDULED,AFTERNOON,0,0,0,2026-04-07 18:35:09.771050+00:00
304,2026-04-07 18:45:04.386087+00:00,third,SCHEDULED,AFTERNOON,0,0,0,2026-04-07 18:45:16.956052+00:00
305,2026-04-07 18:55:04.799434+00:00,fourth,SCHEDULED,AFTERNOON,0,0,0,2026-04-07 18:55:10.948751+00:00
306,2026-04-07 19:05:04.428142+00:00,fifth,SCHEDULED,AFTERNOON,0,0,0,2026-04-07 19:05:09.430821+00:00
307,2026-04-07 19:15:06.297304+00:00,sixth,SCHEDULED,AFTERNOON,0,0,0,2026-04-07 19:15:11.084493+00:00
308,2026-04-07 19:25:06.268027+00:00,core_one,SCHEDULED,AFTERNOON,0,0,0,2026-04-07 19:25:16.261699+00:00
309,2026-04-07 19:35:05.375075+00:00,core_two,SCHEDULED,POWER_HOUR,0,0,0,2026-04-07 19:35:13.049209+00:00
310,2026-04-07 19:45:04.704453+00:00,core_three,SCHEDULED,POWER_HOUR,0,0,0,2026-04-07 19:45:09.446083+00:00
