id,order_id,symbol,side,order_type,status,qty,filled_qty,avg_fill_price,submitted_at,filled_at,created_at
733,839f0b86-5ec4-428e-83d8-21edb936391e,RIVN,buy,stop,canceled,680,0,,2026-04-07 13:55:11.731409+00:00,,2026-04-07 20:31:00.427724+00:00
628,ff1e7a2c-aecc-42c4-8ff4-8125c8fc2af3,RIVN,sell,market,filled,680,680,14.73,2026-04-07 13:55:11.743067+00:00,2026-04-07 13:55:13.474802+00:00,2026-04-07 13:55:14.757648+00:00
731,f4b5a2b4-a1d0-4edc-a7ab-5531245f31ab,OPEN,buy,stop,canceled,2249,0,,2026-04-07 14:05:13.385733+00:00,,2026-04-07 20:30:58.809940+00:00
630,e289f172-b9b3-4280-bddb-b89e33d4d51e,OPEN,sell,market,filled,2249,2249,4.44,2026-04-07 14:05:13.534832+00:00,2026-04-07 14:05:15.440359+00:00,2026-04-07 14:05:15.812581+00:00
730,51f11edf-ff5d-45b4-bc5e-ac2ce92586db,QS,buy,stop,canceled,1623,0,,2026-04-07 14:05:17.037119+00:00,,2026-04-07 20:30:58.010182+00:00
632,580ae8fb-8398-48fa-accb-086610af16e7,PLUG,sell,market,filled,4007,4007,2.51,2026-04-07 14:05:18.920725+00:00,2026-04-07 14:05:19.302021+00:00,2026-04-07 14:05:19.637550+00:00
729,566ecca3-ccf2-49cc-92f8-c7a9bed6e07f,PLUG,buy,limit,canceled,4007,0,,2026-04-07 14:05:19.320502+00:00,,2026-04-07 20:30:56.946416+00:00
629,36e65137-dc3e-4c3c-9cfb-2a2158d53a06,ACHR,sell,market,filled,1883,1883,5.29,2026-04-07 14:05:11.447231+00:00,2026-04-07 14:05:19.340642+00:00,2026-04-07 14:05:12.126707+00:00
732,b80338eb-9608-423d-97b4-425cb15f7036,ACHR,buy,limit,canceled,1883,0,,2026-04-07 14:05:19.347974+00:00,,2026-04-07 20:30:59.355286+00:00
631,c1b5bf21-40e7-4310-99b1-447ac1844968,QS,sell,market,filled,1623,1623,6.130012,2026-04-07 14:05:17.052876+00:00,2026-04-07 14:05:21.471413+00:00,2026-04-07 14:05:17.751867+00:00
